Type,Продукт,Калорийность,Белки,Жиры,Углеводы
Напитки_алкогольные,Вина десертные,172 кКал,"0,5 г",0 г,20 г
Напитки_алкогольные,Вина крепкие,163 кКал,"0,4 г",0 г,12 г
Напитки_алкогольные,Вина ликерные,212 кКал,"0,5 г",0 г,30 г
Напитки_алкогольные,Вина полудесертные,140 кКал,"0,4 г",0 г,12 г
Напитки_алкогольные,Вина полусладкие белые и красные (в т. ч. шампанское),88 кКал,"0,2 г",0 г,5 г
Напитки_алкогольные,Вина полусухие белые и красные (в т. ч. шампанское),78 кКал,"0,3 г",0 г,"2,5 г"
Напитки_алкогольные,Вина сладкие белые и красные (в т. ч. шампанское),100 кКал,"0,2 г",0 г,8 г
Напитки_алкогольные,Вина сухие белые и красные (в т. ч. шампанское),64 кКал,"0,2 г",0 г,"0,3 г"
Напитки_алкогольные,"Вино,  десертное, сухое",152 кКал,"0,2 г",0 г,"11,67 г"
Напитки_алкогольные,"Вино, безалкогольное",6 кКал,"0,5 г",0 г,"1,1 г"
Напитки_алкогольные,"Вино, десертное, сладкое",160 кКал,"0,2 г",0 г,"13,69 г"
Напитки_алкогольные,"Вино, кулинарное",50 кКал,"0,5 г",0 г,"6,3 г"
Напитки_алкогольные,"Вино, легкое",49 кКал,"0,07 г",0 г,"1,17 г"
Напитки_алкогольные,"Вино, столовое, белое",82 кКал,"0,07 г",0 г,"2,6 г"
Напитки_алкогольные,"Вино, столовое, белое, Гевюрцтраминер (Gewurztraminer)",81 кКал,"0,07 г",0 г,"2,6 г"
Напитки_алкогольные,"Вино, столовое, белое, Лэйт Харвест (late harvest)",112 кКал,"0,07 г",0 г,"13,39 г"
Напитки_алкогольные,"Вино, столовое, белое, Мускат (Muscat)",82 кКал,"0,07 г",0 г,"5,23 г"
Напитки_алкогольные,"Вино, столовое, белое, Мюллер-Тургау (Muller Thurgau)",76 кКал,"0,07 г",0 г,"3,48 г"
Напитки_алкогольные,"Вино, столовое, белое, Пино Блан (Pinot Blanc)",81 кКал,"0,07 г",0 г,"1,94 г"
Напитки_алкогольные,"Вино, столовое, белое, Пино Гри (Pinot Gris (Grigio))",83 кКал,"0,07 г",0 г,"2,06 г"
Напитки_алкогольные,"Вино, столовое, белое, Рислинг (Riesling)",80 кКал,"0,07 г",0 г,"3,74 г"
Напитки_алкогольные,"Вино, столовое, белое, Семильон (Semillon)",82 кКал,"0,07 г",0 г,"3,12 г"
Напитки_алкогольные,"Вино, столовое, белое, Совиньон Блан (Sauvignon Blanc)",81 кКал,"0,07 г",0 г,"2,05 г"
Напитки_алкогольные,"Вино, столовое, белое, Фюмэ Блан (Fume Blanc)",82 кКал,"0,07 г",0 г,"2,27 г"
Напитки_алкогольные,"Вино, столовое, белое, Шенен Блан (Chenin Blanc)",80 кКал,"0,07 г",0 г,"3,31 г"
Напитки_алкогольные,"Вино, столовое, все виды",83 кКал,"0,07 г",0 г,"2,72 г"
Напитки_алкогольные,"Вино, столовое, красное",85 кКал,"0,07 г",0 г,"2,61 г"
Напитки_алкогольные,"Вино, столовое, красное, Барбера (Barbera)",85 кКал,"0,07 г",0 г,"2,79 г"
Напитки_алкогольные,"Вино, столовое, красное, Бургундское (Burgundy)",86 кКал,"0,07 г",0 г,"3,69 г"
Напитки_алкогольные,"Вино, столовое, красное, Гаме (Gamay)",78 кКал,"0,07 г",0 г,"2,38 г"
Напитки_алкогольные,"Вино, столовое, красное, Зинфандель (Zinfandel)",88 кКал,"0,07 г",0 г,"2,86 г"
Напитки_алкогольные,"Вино, столовое, красное, Каберне Фран (Cabernet Franc)",83 кКал,"0,07 г",0 г,"2,45 г"
Напитки_алкогольные,"Вино, столовое, красное, Кариньян (Carignane)",74 кКал,"0,07 г",0 г,"2,4 г"
Напитки_алкогольные,"Вино, столовое, красное, Кларет (Claret)",83 кКал,"0,07 г",0 г,"3,01 г"
Напитки_алкогольные,"Вино, столовое, красное, Лембергер (Lemberger)",80 кКал,"0,07 г",0 г,"2,46 г"
Напитки_алкогольные,"Вино, столовое, красное, Мерло (Merlot)",83 кКал,"0,07 г",0 г,"2,51 г"
Напитки_алкогольные,"Вино, столовое, красное, Мурведр (Mouvedre)",88 кКал,"0,07 г",0 г,"2,64 г"
Напитки_алкогольные,"Вино, столовое, красное, Пино Нуар (Pinot Noir)",82 кКал,"0,07 г",0 г,"2,31 г"
Напитки_алкогольные,"Вино, столовое, красное, Пти Шираз (Petite Sirah)",85 кКал,"0,07 г",0 г,"2,68 г"
Напитки_алкогольные,"Вино, столовое, красное, Санджовезе (Sangiovese)",86 кКал,"0,07 г",0 г,"2,62 г"
Напитки_алкогольные,"Вино, столовое, красное, Шираз (Syrah)",83 кКал,"0,07 г",0 г,"2,58 г"
Напитки_алкогольные,Водка,235 кКал,0 г,0 г,"0,4 г"
Напитки_алкогольные,"Водка, дистиллированная, 80 градусов (40 проц. спирта)",231 кКал,0 г,0 г,0 г
Напитки_алкогольные,"Дайкири, консервированный",125 кКал,0 г,0 г,"15,7 г"
Напитки_алкогольные,"Дайкири, приготовленный по рецепту",186 кКал,"0,06 г","0,06 г","6,84 г"
Напитки_алкогольные,"Джин, ром, водка, виски, дистиллированные, 100 градусов (50 проц. спирта)",295 кКал,0 г,0 г,0 г
