Type,Продукт,Калорийность,Белки,Жиры,Углеводы
Овощи_и_зелень,Авокадо,160 кКал,2 г,"14,66 г","1,83 г"
Овощи_и_зелень,"Авокадо, Калифорнийские, сырые",167 кКал,"1,96 г","15,41 г","1,84 г"
Овощи_и_зелень,"Авокадо, Флоридские, сырые",120 кКал,"2,23 г","10,06 г","2,22 г"
Овощи_и_зелень,Агава приготовленная,135 кКал,"0,99 г","0,29 г","21,4 г"
Овощи_и_зелень,Агава сушеная,341 кКал,"1,71 г","0,69 г","66,38 г"
Овощи_и_зелень,Агава сырая,68 кКал,"0,52 г","0,15 г","9,63 г"
Овощи_и_зелень,Айсберг (салат кочанный),14 кКал,"0,9 г","0,14 г","1,77 г"
Овощи_и_зелень,"Амарант листья, вареные, без соли",21 кКал,"2,11 г","0,18 г","4,11 г"
Овощи_и_зелень,"Амарант листья, сырые",23 кКал,"2,46 г","0,33 г","4,02 г"
Овощи_и_зелень,"Амарант, листья, вареные, с солью",21 кКал,"2,11 г","0,18 г","4,11 г"
Овощи_и_зелень,Артишок,47 кКал,"3,27 г","0,15 г","5,11 г"
Овощи_и_зелень,Артишок вареный с солью,51 кКал,"2,89 г","0,34 г","5,69 г"
Овощи_и_зелень,"Артишок вареный, без соли",53 кКал,"2,89 г","0,34 г","6,25 г"
Овощи_и_зелень,"Артишок вареный, замороженные, без соли",45 кКал,"3,11 г","0,5 г","4,58 г"
Овощи_и_зелень,"Артишок замороженные, вареные, с солью",45 кКал,"3,11 г","0,5 г","4,58 г"
Овощи_и_зелень,Артишок замороженный неприготовленный,38 кКал,"2,63 г","0,43 г","3,85 г"
Овощи_и_зелень,"Артишок испанский, вареный, без соли",22 кКал,"0,76 г","0,11 г","3,63 г"
Овощи_и_зелень,"Артишок испанский, вареный, с солью",20 кКал,"0,76 г","0,11 г","3,04 г"
Овощи_и_зелень,"Артишок испанский, сырой",17 кКал,"0,7 г","0,1 г","2,47 г"
Овощи_и_зелень,"Аурикулярия густоволосистая, сушеная",284 кКал,"9,25 г","0,73 г","2,91 г"
Овощи_и_зелень,"Аурикулярия уховидная, сушеная",298 кКал,"4,82 г","0,44 г","81,03 г"
Овощи_и_зелень,"Аурикулярия уховидная, сырая",25 кКал,"0,48 г","0,04 г","6,75 г"
Овощи_и_зелень,"Базелла белая, приготовленная",23 кКал,"2,98 г","0,78 г","0,61 г"
Овощи_и_зелень,Баклажан,24 кКал,"1,2 г","0,1 г","4,5 г"
Овощи_и_зелень,"Баклажан, вареный, без соли",35 кКал,"0,83 г","0,23 г","6,23 г"
Овощи_и_зелень,"Баклажан, вареный, с солью",33 кКал,"0,83 г","0,23 г","5,64 г"
Овощи_и_зелень,"Баклажан, сырой",25 кКал,"0,98 г","0,18 г","2,88 г"
Овощи_и_зелень,Баклажаны маринованные,49 кКал,"0,9 г","0,7 г","7,27 г"
Овощи_и_зелень,Баклажаны фаршированные овощами по 1-266,83 кКал,"2,9 г","4,5 г","7,4 г"
Овощи_и_зелень,"Бамбук, побеги вареные, с солью",11 кКал,"1,53 г","0,22 г","0,52 г"
Овощи_и_зелень,"Бамбук, побеги, вареные, без соли",12 кКал,"1,53 г","0,22 г","0,92 г"
Овощи_и_зелень,"Бамбук, побеги, консервированные, сухой продукт без маринада",19 кКал,"1,72 г","0,4 г","1,82 г"
Овощи_и_зелень,"Бамбук, побеги, сырые",27 кКал,"2,6 г","0,3 г",3 г
Овощи_и_зелень,"Батат, картофель сладкий",60 кКал,2 г,"0,05 г","13,3 г"
Овощи_и_зелень,"Батат, картофель сладкий",86 кКал,"1,57 г","0,05 г","17,12 г"
Овощи_и_зелень,"Батат, картофель сладкий запеченный в кожуре, без соли",90 кКал,"2,01 г","0,15 г","17,41 г"
Овощи_и_зелень,"Батат, картофель сладкий, вареный без соли",76 кКал,"1,37 г","0,14 г","15,22 г"
