Type,Продукт,Калорийность,Белки,Жиры,Углеводы
Рыба_и_морепродукты,Акула катран,143 кКал,"19,9 г",7 г,0 г
Рыба_и_морепродукты,"Акула, все виды, приготовленная, обжаренная в панировке",228 кКал,"18,62 г","13,82 г","6,39 г"
Рыба_и_морепродукты,"Акула, все виды, сырая",130 кКал,"20,98 г","4,51 г",0 г
Рыба_и_морепродукты,Альбула,106 кКал,23 г,"1,5 г",0 г
Рыба_и_морепродукты,Анчоус атлантический,135 кКал,"20,1 г","6,1 г",0 г
Рыба_и_морепродукты,"Анчоус европейский, консервированный в масле, сухой продукт без маринада",210 кКал,"28,89 г","9,71 г",0 г
Рыба_и_морепродукты,"Анчоус европейский, сырой",131 кКал,"20,35 г","4,84 г",0 г
Рыба_и_морепродукты,Аргентина,88 кКал,"17,6 г",2 г,0 г
Рыба_и_морепродукты,"Асцидия, (tunughnak), (Аляска)",20 кКал,"3,8 г","0,5 г",0 г
Рыба_и_морепродукты,Балык осетровый вяленый,177 кКал,"21,6 г","10,1 г",0 г
Рыба_и_морепродукты,Балык осетровый холодного копчения,194 кКал,"20,4 г","12,5 г",0 г
Рыба_и_морепродукты,"Барабулька, приготовленная на жару",150 кКал,"24,81 г","4,86 г",0 г
Рыба_и_морепродукты,"Барабулька, сырая",117 кКал,"19,35 г","3,79 г",0 г
Рыба_и_морепродукты,"Баттерфиш, весенне-летняя",140 кКал,"17,3 г","7,9 г",0 г
Рыба_и_морепродукты,"Баттерфиш, осенне-зимняя",201 кКал,"17,3 г","14,6 г",0 г
Рыба_и_морепродукты,"Белая рыба, все виды",134 кКал,"19,09 г","5,86 г",0 г
Рыба_и_морепродукты,"Белая рыба, все виды, копченая",108 кКал,"23,4 г","0,93 г",0 г
Рыба_и_морепродукты,"Белая рыба, все виды, приготовленная на жару",172 кКал,"24,47 г","7,51 г",0 г
Рыба_и_морепродукты,Белоглазка аральская холодного копчения,244 кКал,"27,5 г","14,9 г",0 г
Рыба_и_морепродукты,"Белоглазка, аральская",144 кКал,"17,9 г",8 г,0 г
Рыба_и_морепродукты,"Белоглазка, волго-каспийская",92 кКал,"18,8 г","1,9 г",0 г
Рыба_и_морепродукты,Белорыбица,274 кКал,"20,1 г","21,5 г",0 г
Рыба_и_морепродукты,Белуга бланшированная консервированная,234 кКал,"23,3 г","15,6 г",0 г
Рыба_и_морепродукты,"Белуга, глаза (Аляска)",291 кКал,"19,6 г","23,3 г",0 г
Рыба_и_морепродукты,"Бельдюга американская, приготовленная на жару",102 кКал,"21,33 г","1,17 г",0 г
Рыба_и_морепродукты,"Бельдюга американская, сырая",79 кКал,"16,64 г","0,91 г",0 г
Рыба_и_морепродукты,Бельдюга океаническая,89 кКал,"17,6 г","2,1 г",0 г
Рыба_и_морепродукты,Берикс,88 кКал,"20,3 г","0,8 г",0 г
Рыба_и_морепродукты,Бесуго,145 кКал,20 г,"7,2 г",0 г
Рыба_и_морепродукты,Боковник белужий холодного копчения,228 кКал,"18,2 г","17,2 г",0 г
Рыба_и_морепродукты,Большеголов,94 кКал,"11,4 г","5,4 г",0 г
Рыба_и_морепродукты,Большеголов атлантический,76 кКал,"16,41 г","0,7 г",0 г
Рыба_и_морепродукты,"Большеголов атлантический, приготовленный на жару",105 кКал,"22,64 г","0,9 г",0 г
Рыба_и_морепродукты,Бульон рыбный,17 кКал,"2,26 г","0,81 г",0 г
Рыба_и_морепродукты,"Бычки в томатном соусе, консервы",145 кКал,"12,8 г","8,1 г","5,2 г"
Рыба_и_морепродукты,Бычок-песочник,70 кКал,"15,8 г","0,8 г",0 г
Рыба_и_морепродукты,Вобла,95 кКал,18 г,"2,8 г",0 г
Рыба_и_морепродукты,Вобла каспийская вяленая,235 кКал,"46,4 г","5,5 г",0 г
Рыба_и_морепродукты,Вобла холодного копчения,181 кКал,"31,1 г","6,3 г",0 г
Рыба_и_морепродукты,"Галиотис, все виды, жареный",189 кКал,"19,63 г","6,78 г","11,05 г"
Рыба_и_морепродукты,"Галиотис, все виды, сырой",105 кКал,"17,1 г","0,76 г","6,01 г"
Рыба_и_морепродукты,"Галки из трески, по 1-388",87 кКал,12 г,"1,1 г","7,3 г"
Рыба_и_морепродукты,"Гирелла, черный каменный окунь, сырой, (Аляска)",82 кКал,"15,5 г","1,75 г",0 г
Рыба_и_морепродукты,Гладкоголов,49 кКал,8 г,"1,9 г",0 г
Рыба_и_морепродукты,Горбуша,140 кКал,"20,5 г","6,5 г",0 г
Рыба_и_морепродукты,Горбуша в томатном соусе. Консервы,130 кКал,15 г,6 г,"4,1 г"
Рыба_и_морепродукты,Горбуша натуральная. Консервы,136 кКал,"20,9 г","5,8 г",0 г
Рыба_и_морепродукты,"Горбуша отварная, по 1-342",152 кКал,"21,8 г","7,3 г",0 г
Рыба_и_морепродукты,Горбуша соленая,169 кКал,"22,1 г",9 г,0 г
Рыба_и_морепродукты,"Горбуша, консервированная без соли, с маринадом и костями",139 кКал,"19,78 г","6,05 г",0 г
Рыба_и_морепродукты,"Горбуша, консервированная, содержимое без жидкости",138 кКал,"23,1 г","5,02 г",0 г
Рыба_и_морепродукты,"Горбуша, консервированная, содержимое без жидкости, без кожи и костей",136 кКал,"24,62 г","4,21 г",0 г
Рыба_и_морепродукты,"Горбуша, приготовленная на жару",153 кКал,"24,58 г","5,28 г",0 г
Рыба_и_морепродукты,"Горбуша, с костями, консервированная",129 кКал,"19,68 г","4,97 г",0 г
Рыба_и_морепродукты,"Горбуша, сырая",127 кКал,"20,5 г","4,4 г",0 г
Рыба_и_морепродукты,"Горбыль волнистый, жареный в панировке",221 кКал,"18,2 г","12,67 г","7,14 г"
Рыба_и_морепродукты,"Горбыль волнистый, сырой",104 кКал,"17,78 г","3,17 г",0 г
Рыба_и_морепродукты,"Горбыль, приготовленный на жару",153 кКал,"22,49 г","6,32 г",0 г
Рыба_и_морепродукты,"Горбыль, сырой",119 кКал,"17,54 г","4,93 г",0 г
Рыба_и_морепродукты,Гребешок,69 кКал,"12,06 г","0,49 г","3,18 г"
Рыба_и_морепродукты,"Гребешок, искусственный из сурими",99 кКал,"12,77 г","0,41 г","10,62 г"
