Type,Продукт,Калорийность,Белки,Жиры,Углеводы
Фрукты_и_ягоды,Абрикосовое пюре,60 кКал,"1,2 г",0 г,"13,9 г"
Фрукты_и_ягоды,Абрикосовый джем,276 кКал,"0,5 г",0 г,"71,6 г"
Фрукты_и_ягоды,Абрикосовый компот. Консервы,89 кКал,"0,2 г","0,08 г","21,7 г"
Фрукты_и_ягоды,Абрикосы,44 кКал,"0,9 г","0,1 г",9 г
Фрукты_и_ягоды,Абрикосы,48 кКал,"1,4 г","0,39 г","9,12 г"
Фрукты_и_ягоды,"Абрикосы без кожуры, консервированные в водной заливке",22 кКал,"0,69 г","0,03 г","4,38 г"
Фрукты_и_ягоды,"Абрикосы без кожуры, консервированные в насыщенном сахарном сиропе",83 кКал,"0,51 г","0,09 г","19,85 г"
Фрукты_и_ягоды,"Абрикосы без кожуры, консервированные в экстра-насыщенном сахарном сиропе",96 кКал,"0,55 г","0,04 г","23,25 г"
Фрукты_и_ягоды,Абрикосы замороженные подслащенные,98 кКал,"0,7 г","0,1 г","22,9 г"
Фрукты_и_ягоды,Абрикосы сушеные,241 кКал,"3,39 г","0,51 г","55,34 г"
Фрукты_и_ягоды,"Абрикосы сушеные (дегидрированные), сульфитированные, неприготовленные",320 кКал,"4,9 г","0,62 г","82,89 г"
Фрукты_и_ягоды,"Абрикосы сушеные (дегидрированные), сульфитированные, тушеные",126 кКал,"1,93 г","0,24 г","32,62 г"
Фрукты_и_ягоды,"Абрикосы сушеные (курага), тушеные без сахара",85 кКал,"1,2 г","0,18 г","19,55 г"
Фрукты_и_ягоды,"Абрикосы сушеные (курага), тушеные с сахаром",113 кКал,"1,17 г","0,15 г","25,16 г"
Фрукты_и_ягоды,Абрикосы сушеные с косточкой (урюк),242 кКал,5 г,"0,4 г",53 г
Фрукты_и_ягоды,"Абрикосы, консервированные (половинки или кусочки)",85 кКал,"0,5 г",0 г,21 г
Фрукты_и_ягоды,"Абрикосы, консервированные в водной заливке",27 кКал,"0,71 г","0,16 г","4,79 г"
Фрукты_и_ягоды,"Абрикосы, консервированные в легком сахарном сиропе",63 кКал,"0,53 г","0,05 г","14,89 г"
Фрукты_и_ягоды,"Абрикосы, консервированные в насыщенном сахарном сиропе",83 кКал,"0,64 г","0,11 г","18,61 г"
Фрукты_и_ягоды,"Абрикосы, консервированные в насыщенном сахарном сиропе",83 кКал,"0,53 г","0,08 г","19,87 г"
Фрукты_и_ягоды,"Абрикосы, консервированные в экстра-легком сахарном сиропе",49 кКал,"0,6 г","0,1 г","10,9 г"
Фрукты_и_ягоды,Айва,48 кКал,"0,6 г","0,5 г","9,6 г"
Фрукты_и_ягоды,Айва,57 кКал,"0,4 г","0,1 г","13,4 г"
Фрукты_и_ягоды,Айвовый компот. Консервы,82 кКал,"0,4 г","0,3 г","19,7 г"
Фрукты_и_ягоды,Актинидия  (дальневосточное киви),56 кКал,0 г,0 г,13 г
Фрукты_и_ягоды,Ананас,52 кКал,"0,3 г","0,1 г","11,8 г"
Фрукты_и_ягоды,"Ананас замороженный, подслащенный",86 кКал,"0,4 г","0,1 г","21,1 г"
Фрукты_и_ягоды,"Ананас, все сорта",50 кКал,"0,54 г","0,12 г","11,72 г"
Фрукты_и_ягоды,"Ананас, консервированный в водной заливке",32 кКал,"0,43 г","0,09 г","7,5 г"
Фрукты_и_ягоды,"Ананас, консервированный в легком сахарном сиропе",52 кКал,"0,36 г","0,12 г","12,65 г"
Фрукты_и_ягоды,"Ананас, консервированный в насыщенном сахарном сиропе",78 кКал,"0,35 г","0,11 г","19,4 г"
Фрукты_и_ягоды,"Ананас, консервированный в собственном соку",60 кКал,"0,51 г","0,11 г","14,26 г"
Фрукты_и_ягоды,"Ананас, консервированный в экстра-насыщенном сахарном сиропе",83 кКал,"0,34 г","0,11 г","20,7 г"
Фрукты_и_ягоды,"Ананас, несладкие сорта",45 кКал,"0,55 г","0,13 г","11,82 г"
Фрукты_и_ягоды,"Ананас, сладкие сорта",51 кКал,"0,53 г","0,11 г","12,1 г"
Фрукты_и_ягоды,"Аннона сетчатая (кремовое яблоко, ""бычье сердце"")",101 кКал,"1,7 г","0,6 г","22,8 г"
Фрукты_и_ягоды,Апельсин,43 кКал,"0,9 г","0,2 г","8,1 г"
Фрукты_и_ягоды,"Апельсин валенсийский, Калифорния",49 кКал,"1,04 г","0,3 г","9,39 г"
Фрукты_и_ягоды,Апельсин пупочный (сорт навел),49 кКал,"0,91 г","0,15 г","10,34 г"
