Type,Продукт,Калорийность,Белки,Жиры,Углеводы
Вторые_блюда,Азу,"177,62 кКал","9,3114 г","12,2569 г","7,2551 г"
Вторые_блюда,Антрекот,"317,2565 кКал","21,536 г","25,0652 г","1,3686 г"
Вторые_блюда,Анчоусы и кильки с картофелем,"156,5 кКал","12,3 г","7,9 г","9,7 г"
Вторые_блюда,Баклажаны панированные,236 кКал,"2,9 г","23,1 г","4,4 г"
Вторые_блюда,Баклажаны по-украински,"154,1 кКал","1,7 г","13,6 г","6,8 г"
Вторые_блюда,Баклажаны под майонезом,"114,2 кКал","1,4 г","10,4 г","4,1 г"
Вторые_блюда,Баклажаны тушеные с помидорами,"189,3 кКал","2,1 г","17,7 г","5,7 г"
Вторые_блюда,"Баранина рубленая, запеченная в омлете (чувашское национальное блюдо)","246,3 кКал",14 г,"20,1 г","2,5 г"
Вторые_блюда,Баранина с рисом и изюмом (еврейское национальное блюдо),"265,4 кКал","12,4 г",18 г,"14,4 г"
Вторые_блюда,Беляш,"139,3 кКал","8,8 г","6,2 г","12,8 г"
Вторые_блюда,Беляши (казахское национальное блюдо),"260,6 кКал","14,6 г","14,7 г","18,7 г"
Вторые_блюда,Береки (мучное изделие с мясом - калмыцкое национальное блюдо),289 кКал,"15,4 г","18,9 г","15,3 г"
Вторые_блюда,Бефстроганов,"355,4 кКал","21,9 г","27,4 г","5,7 г"
Вторые_блюда,"Биточки или котлеты манные, рисовые","162,4 кКал",4 г,"7,8 г","20,4 г"
Вторые_блюда,"Биточки или котлеты пшенные, пшеничный, перловые, ячневые","151,9 кКал","3,9 г","7,4 г","18,6 г"
Вторые_блюда,Биточки паровые,"281,4 кКал",20 г,"19,5 г",7 г
Вторые_блюда,Биточки по-селянски (украинское национальное блюдо),"208,6 кКал","9,8 г","13,8 г",12 г
Вторые_блюда,"Биточки рубленые из птицы, дичи или кролика паровые под белым соусом с рисом","307,1 кКал","11,2 г","13,2 г","38,3 г"
Вторые_блюда,"Биточки рыбные, жаренные ""фри""","232,1 кКал","12,3 г",15 г,"12,7 г"
Вторые_блюда,"Биточки, котлеты из кальмаров и рыбы",363 кКал,"14,4 г","12,5 г","51,4 г"
Вторые_блюда,Бифштекс,"384,3 кКал","27,8 г","29,6 г","1,7 г"
Вторые_блюда,Бифштекс рубленый,"497,3 кКал","27,1 г","43,2 г",0 г
Вторые_блюда,Бифштекс с луком,"337,7 кКал",25 г,25 г,"3,4 г"
Вторые_блюда,Бифштекс с яйцом,"326,4 кКал","26,1 г",24 г,"1,6 г"
Вторые_блюда,Бифштексы рубленые,166 кКал,"11,1 г","12,9 г","1,4 г"
Вторые_блюда,Бобовые с копченой грудинкой или корейкой,"381,4 кКал",23 г,"14,9 г","41,4 г"
Вторые_блюда,Бозбаш,"87,9 кКал","4,6 г","3,7 г","9,6 г"
Вторые_блюда,Брюква запеченная,"51,1 кКал","2,1 г","1,6 г","7,5 г"
Вторые_блюда,Брюква тушеная,"113,5 кКал","1,2 г","8,5 г","8,6 г"
Вторые_блюда,Вареники ленивые (полуфабрикат),"248,2 кКал","13,7 г","14,9 г","15,9 г"
Вторые_блюда,Вареники ленивые отварные,"355,4 кКал","17,2 г","23,5 г",20 г
Вторые_блюда,Вареники с брусникой и яблоками по-уральски,"106,1 кКал","3,5 г","2,1 г","19,6 г"
Вторые_блюда,Вареники с капустой,"79,1 кКал","4,2 г","2,9 г","9,7 г"
Вторые_блюда,"Вареники с творожным, фруктовым или овощным фаршем","281,3 кКал","10,4 г","10,5 г","38,8 г"
Вторые_блюда,Волованы,435 кКал,"7,9 г","29,9 г","35,9 г"
Вторые_блюда,Волованы с икрой,"293,2 кКал","11,2 г","20,2 г","17,8 г"
Вторые_блюда,Волованы с курицей,"410,8 кКал","14,1 г","30,8 г","20,7 г"
Вторые_блюда,Волованы с окороком,"480,1 кКал","9,5 г","41,3 г","18,8 г"
Вторые_блюда,Волованы с салатом,"326,6 кКал","8,3 г",24 г,"20,5 г"
Вторые_блюда,Волованы с семгой или икрой,"333,6 кКал","12,1 г","24,3 г","17,9 г"
Вторые_блюда,Вымя отварное в соусе,"70,7 кКал","5,7 г","5,2 г","0,3 г"
Вторые_блюда,Галантин из рыбы,"145,1 кКал","15,6 г","7,4 г","4,3 г"
Вторые_блюда,Говядина в кисло-сладком соусе,"354,9 кКал","26,1 г",22 г,"13,9 г"
Вторые_блюда,Говядина в луковом соусе запеченная,"178,5 кКал","12,2 г","11,4 г","7,3 г"
Вторые_блюда,"Говядина, запеченная с макаронами","359,4 кКал","18,4 г","22,2 г","22,9 г"
Вторые_блюда,"Говядина, тушенная с луком, орехами и чесноком (адыгейское национальное блюдо)","530,2 кКал","29,9 г","24,2 г","51,4 г"
Вторые_блюда,"Говядина, фаршированная грибами","326,5 кКал","21,1 г","25,5 г","3,4 г"
Вторые_блюда,Голубцы овощные,"190,9 кКал","3,4 г","16,7 г","7,3 г"
Вторые_блюда,Горбуша в сливках,"129,5 кКал","8,8 г","9,5 г","2,4 г"
Вторые_блюда,Горячий паштет из печени,"119,4 кКал","10,2 г","5,6 г","7,5 г"
Вторые_блюда,Грибная запеканка,"145,2 кКал","4,7 г","10,1 г","9,5 г"
Вторые_блюда,Грибная икра,"88,4 кКал","2,2 г","6,1 г","6,5 г"
Вторые_блюда,Грибные пельмени,"185,8 кКал","5,5 г","13,3 г","11,8 г"
Вторые_блюда,Грибные ушки,"341,7 кКал","17,2 г","20,4 г","23,8 г"
Вторые_блюда,"Грибочки калевальские (рыба, фаршированная яйцом, - карельское национальное блюдо)","185,7 кКал","11,8 г","9,2 г","14,8 г"
Вторые_блюда,Грибы в сметанном соусе,"204,2 кКал",5 г,"18,9 г","3,8 г"
Вторые_блюда,Грибы в сметанном соусе,"230,5 кКал","4,8 г","21,8 г","3,9 г"
Вторые_блюда,Грибы жареные,"162,1 кКал","4,6 г","11,5 г","10,7 г"
Вторые_блюда,Грибы по-деревенски,"51,1 кКал","1,2 г","3,7 г","3,5 г"
Вторые_блюда,Грибы по-селянски,180 кКал,"1,6 г","18,4 г","2,1 г"
Вторые_блюда,Грибы с квашеной капустой,"138,9 кКал","2,8 г","10,9 г",8 г
