Type,Продукт,Калорийность,Белки,Жиры,Углеводы
Выпечка,Бабка из черного хлеба с яблоками,"189,7 кКал","2,6 г",9 г,"26,2 г"
Выпечка,Бабушкины Рогалики,"320,7 кКал","4,5 г","19,6 г","33,7 г"
Выпечка,Буберт из пшеничной муки,"123,1 кКал","4,4 г","6,2 г","13,3 г"
Выпечка,Ватрушки (из дрожжевого теста),"319,3 кКал","13,3 г","11,9 г","42,5 г"
Выпечка,Воздушный пирог из черники,"149,9 кКал","3,2 г","4,2 г","26,4 г"
Выпечка,Картофельное печенье,69 кКал,"2,9 г","2,5 г","9,3 г"
Выпечка,Картофельное суфле,"108,8 кКал","5,6 г","6,1 г","8,3 г"
Выпечка,"Кекс ""Пока гости раздеваются""","286,5 кКал","4,6 г","13,1 г",40 г
Выпечка,Кекс кондитерский,"276,2 кКал","6,2 г","13,6 г","34,4 г"
Выпечка,Кекс молдавский,"271,4 кКал","5,6 г","8,9 г",45 г
Выпечка,Кекс шоколадный,"356,3 кКал","6,2 г","20,2 г","39,8 г"
Выпечка,Крокеты из манной крупы,"176,9 кКал","4,6 г","12,2 г","13,1 г"
Выпечка,Крокеты из моркови с изюмом,134 кКал,"3,6 г","2,8 г","25,3 г"
Выпечка,Крупеник,"204,4 кКал","8,3 г","12,1 г","16,7 г"
Выпечка,Кулебяки (из дрожжевого теста),"278,9 кКал","16,2 г","11,7 г",29 г
Выпечка,Кулич пасхальный,"320,4 кКал","6,8 г","14,4 г","43,8 г"
Выпечка,Лапшевник с творогом,"165,9 кКал","6,9 г","9,5 г","14,1 г"
Выпечка,Лекех,"264,3 кКал","6,8 г","5,2 г","50,9 г"
Выпечка,Лепешки из творога и картофеля,"153,8 кКал","9,3 г","8,9 г","9,9 г"
Выпечка,Макаронник,"126,6 кКал","4,1 г","5,6 г",16 г
Выпечка,Манная запеканка с вишней,"102,7 кКал","3,6 г","3,6 г","14,9 г"
Выпечка,Манник,"218,4 кКал","6,2 г","2,4 г","45,9 г"
Выпечка,Манный пудинг с абрикосами,"126,1 кКал","4,4 г","4,4 г","18,5 г"
Выпечка,Манный пудинг с грушами,"115,5 кКал","3,5 г","3,2 г","19,4 г"
Выпечка,Манный пудинг с клубникой,"119,5 кКал","4,1 г","5,2 г","15,1 г"
Выпечка,Медовик,"311,1 кКал","8,3 г","4,9 г","62,3 г"
Выпечка,Миндальный пудинг с клубникой,"178,5 кКал","4,1 г","8,6 г","22,5 г"
Выпечка,Ореховое печение,"268,5 кКал","6,7 г","12,1 г","35,5 г"
Выпечка,Печенье из картофеля с яблоками,148 кКал,"1,9 г","4,5 г","26,7 г"
Выпечка,Печенье из кофе,"366,6 кКал","6,2 г","21,3 г",40 г
Выпечка,Печенье из творога,"380,9 кКал","9,3 г",26 г,"29,3 г"
Выпечка,Пирог летний,"238,3 кКал","9,2 г","8,4 г","33,5 г"
Выпечка,Пирог от Анюты,"312,5 кКал","9,8 г","15,9 г","34,8 г"
Выпечка,Пирог с бананами,"115,6 кКал","2,3 г","0,7 г","26,8 г"
Выпечка,Пирог с вишнями,"313,9 кКал","2,9 г","20,7 г",31 г
Выпечка,Пирог с творогом и вишней,"128,3 кКал","7,7 г","3,7 г",17 г
Выпечка,Пирог с черникой,"298,4 кКал","2,9 г","11,5 г","48,8 г"
Выпечка,Пирог яблочный открытый,"193,6 кКал","2,1 г","7,3 г",32 г
Выпечка,Пироги закрытые,"252,4 кКал","12,1 г","6,6 г","38,7 г"
Выпечка,Пирожки жареные из дрожжевого теста (простые с фаршем массой 75г.),"339,4 кКал","13,5 г","17,7 г","33,6 г"
Выпечка,Пирожки печеные из дрожжевого теста (простые массой 75г.),"285,8 кКал","14,4 г","9,2 г","38,7 г"
Выпечка,Пирожки печеные из пресного слоеного теста ( массой 75г.),"390,4 кКал","14,4 г","24,5 г","29,9 г"
Выпечка,Пирожки с картофелем и творогом,"98,6 кКал","8,6 г","0,9 г",15 г
Выпечка,Пицца с луком и сыром,"198,9 кКал","5,2 г","15,4 г","10,4 г"
Выпечка,Пицца с помидорами и сыром,"221,6 кКал","4,1 г","17,5 г","12,6 г"
Выпечка,Пончики,"328,7 кКал","6,7 г","14,7 г","45,1 г"
Выпечка,Пшенная запеканка,"246,1 кКал","7,3 г","5,5 г","44,7 г"
Выпечка,Расстегаи московские,"264,4 кКал","13,7 г","10,2 г","31,3 г"
Выпечка,Расстегаи с мясом или рыбой,"266,9 кКал","13,2 г","9,5 г","34,3 г"
Выпечка,Ржаные лепешки,390 кКал,"5,2 г","17,8 г","55,8 г"
Выпечка,Рисовые омлеты с вишней,"153,6 кКал","4,4 г","7,1 г","19,1 г"
Выпечка,"Рулет ""Мираж гурмана""","304,9 кКал","5,5 г","14,9 г","39,7 г"
Выпечка,Саварен (французский рождественский кекс),"175,3 кКал","3,7 г","3,7 г","33,9 г"
Выпечка,Свежие ягоды черники в сахаре,"241,5 кКал","0,4 г","0,2 г","63,4 г"
Выпечка,Свекла с творогом,"69,5 кКал","10,1 г","0,9 г","5,5 г"
Выпечка,Соты,"360,2 кКал","3,5 г","26,9 г","27,9 г"
Выпечка,Сочни творожные,"260,8 кКал","9,4 г","9,8 г","35,9 г"
Выпечка,Сочники с творогом,"244,1 кКал","9,6 г","7,9 г","35,8 г"
Выпечка,Сырники из творога,"300,2 кКал",13 г,"19,4 г","19,6 г"
Выпечка,Сырные палочки,"314,5 кКал","13,7 г","27,9 г","2,4 г"
Выпечка,Творожная запеканка,"239,6 кКал","8,4 г","6,8 г","38,6 г"
Выпечка,Творожная запеканка с макаронами,"228,5 кКал","11,2 г","9,1 г","27,3 г"
Выпечка,"Творожники ""Пряженые"" (с морковью и сыром)",320 кКал,"10,8 г","23,4 г","17,6 г"
Выпечка,Творожно-яблочная запеканка,"93,8 кКал","8,5 г","3,7 г","7,2 г"
Выпечка,Творожно-яблочный пирог,"207,3 кКал","5,1 г","6,2 г",35 г
Выпечка,Творожные шарики с яблоками,"321,2 кКал","7,2 г","23,8 г","20,8 г"
Выпечка,Торт Муравейник,"451,9 кКал","4,5 г","29,4 г","45,1 г"
Выпечка,Тыквенно-яблочная запеканка,"120,2 кКал","2,5 г","5,9 г","15,3 г"
Выпечка,Шанежки наливные с яйцами,"239,8 кКал","9,1 г",4 г,"44,7 г"
Выпечка,Шарлотка,"145,7 кКал","3,1 г","1,8 г","31,3 г"
Выпечка,Шарлотка с яблоками,"197,7 кКал","3,5 г",5 г,37 г
Выпечка,Яблоки в слойке,"238,3 кКал","3,9 г","9,9 г","35,7 г"
Выпечка,Яблоки в тесте жареные,"220,7 кКал","3,3 г",8 г,"36,1 г"
Выпечка,Яблоки или груши с сиропом,"105,3 кКал","0,3 г","0,3 г","27,1 г"
Выпечка,"Яблоки, запеченные с творогом","171,4 кКал","3,7 г","2,9 г","34,7 г"
Выпечка,"Яблоки, фаршированные рисом и орехами","151,1 кКал","3,1 г","8,5 г","16,7 г"
Выпечка,Яблочный каравай из черствого хлеба,"147,5 кКал","4,7 г","6,8 г",18 г
