Type,Продукт,Калорийность,Белки,Жиры,Углеводы
Вода_и_напитки,Айвовый сок,51 кКал,"0,5 г","0,1 г","11,2 г"
Вода_и_напитки,"Ананасовый и апельсиновый сок напиток, консервированный",50 кКал,"1,3 г",0 г,"11,7 г"
Вода_и_напитки,"Ананасовый и грейпфрутовый сок-напиток, консервированный",47 кКал,"0,2 г","0,1 г","11,5 г"
Вода_и_напитки,"Апельсиновый и абрикосовый сок-напиток, консервированный",51 кКал,"0,3 г","0,1 г","12,6 г"
Вода_и_напитки,"Апельсиновый напиток, консервированный, с доб витамина C",49 кКал,0 г,"0,07 г","12,34 г"
Вода_и_напитки,"Апельсиновый напиток, с соком и мякотью, замороженный концентрат, приготовленный на воде",45 кКал,"0,12 г",0 г,"11,32 г"
Вода_и_напитки,Апельсиновый сок-напиток,54 кКал,"0,2 г",0 г,"13,21 г"
Вода_и_напитки,Арзни,0 кКал,0 г,0 г,0 г
Вода_и_напитки,Боржоми,0 кКал,0 г,0 г,0 г
Вода_и_напитки,"Виноградный напиток, консервированный",61 кКал,0 г,0 г,"15,72 г"
Вода_и_напитки,"Виноградный сок-напиток, консервированный",57 кКал,0 г,0 г,"14,45 г"
Вода_и_напитки,Вода,0 кКал,0 г,0 г,0 г
Вода_и_напитки,"Вода ""Ливония"" (г. Владивосток)",0 кКал,0 г,0 г,0 г
Вода_и_напитки,"Вода ""Перье"" (PERRIER)",0 кКал,0 г,0 г,0 г
Вода_и_напитки,Вода водопроводная питьевая,0 кКал,0 г,0 г,0 г
Вода_и_напитки,"Вода водопроводная, городская",0 кКал,0 г,0 г,0 г
Вода_и_напитки,Вода колодезная (из подземного источника),0 кКал,0 г,0 г,0 г
Вода_и_напитки,"Вода, бутилированная, POLAND SPRING",0 кКал,0 г,0 г,0 г
Вода_и_напитки,"Вода, бутилированная, в общем",0 кКал,0 г,0 г,0 г
Вода_и_напитки,"Вода, бутилированная, негазированная, CALISTOGA",0 кКал,0 г,0 г,0 г
Вода_и_напитки,"Вода, бутилированная, негазированная, CRYSTAL GEYSER",0 кКал,0 г,0 г,0 г
Вода_и_напитки,"Вода, бутилированная, негазированная, DANNON",0 кКал,0 г,0 г,0 г
Вода_и_напитки,"Вода, бутилированная, негазированная, DANNON Fluoride To Go",0 кКал,0 г,0 г,"0,03 г"
Вода_и_напитки,"Вода, бутилированная, негазированная, DASANI",0 кКал,0 г,0 г,0 г
Вода_и_напитки,"Вода, бутилированная, негазированная, EVIAN",0 кКал,0 г,0 г,0 г
Вода_и_напитки,"Вода, бутилированная, негазированная, NAYA",0 кКал,0 г,0 г,0 г
Вода_и_напитки,"Вода, бутилированная, негазированная, PEPSI,(пепси), AQUAFINA",0 кКал,0 г,0 г,0 г
Вода_и_напитки,"Вода, бутилированная, Перье, PERRIER",0 кКал,0 г,0 г,0 г
Вода_и_напитки,"Вода, негазированная, бутылированная, с натуральным фруктовым вкусом, с низкокалорийным подсластителем",1 кКал,0 г,0 г,"0,13 г"
Вода_и_напитки,"Вода, с доб. витаминов и минералов, бутилированная, подслащенная, со вкусом фруктового ассорти",22 кКал,0 г,0 г,"5,49 г"
Вода_и_напитки,"Вода, с кукурузным сиропом и/или сахаром и низкокалорийным подсластителем, с фруктовым вкусом",18 кКал,0 г,0 г,"4,5 г"
Вода_и_напитки,"Газированный напиток, апельсиновый",48 кКал,0 г,0 г,"12,3 г"
Вода_и_напитки,"Газированный напиток, виноградная сода",43 кКал,0 г,0 г,"11,2 г"
Вода_и_напитки,"Газированный напиток, Имбирный эль",34 кКал,0 г,0 г,"8,76 г"
Вода_и_напитки,"Газированный напиток, кола, без кофеина",41 кКал,0 г,0 г,"10,58 г"
Вода_и_напитки,"Газированный напиток, кола, с высоким содерж. кофеина",42 кКал,0 г,"0,25 г","10,36 г"
Вода_и_напитки,"Газированный напиток, кола, с кофеином",37 кКал,"0,07 г","0,02 г","9,56 г"
Вода_и_напитки,"Газированный напиток, Корневое пиво, Саспарилла",41 кКал,0 г,0 г,"10,6 г"
Вода_и_напитки,"Газированный напиток, крем-сода",51 кКал,0 г,0 г,"13,3 г"
Вода_и_напитки,"Газированный напиток, лимон-лайм сода, с кофеином",41 кКал,"0,09 г",0 г,"10,42 г"
Вода_и_напитки,"Газированный напиток, низкокалорийный, исключая кола или пеппер, без кофеина",0 кКал,"0,1 г",0 г,0 г
Вода_и_напитки,"Газированный напиток, низкокалорийный, исключая кола или пеппер, с добавками: аспартам, с кофеином",0 кКал,"0,1 г",0 г,0 г
Вода_и_напитки,"Газированный напиток, низкокалорийный, исключая кола или пеппер, с натриевым сахарином, без кофеина",0 кКал,0 г,0 г,"0,1 г"
Вода_и_напитки,"Газированный напиток, низкокалорийный, кола или пеппер, с добавками: аспартам, без кофеина",1 кКал,"0,12 г",0 г,"0,12 г"
