Type,Продукт,Калорийность,Белки,Жиры,Углеводы
Десерты,Абрикосовое суфле,"116,2208 кКал","5,6456 г","0,0347 г","23,1126 г"
Десерты,Апельсиновые корзиночки с кремом,"118,9 кКал","3,1 г",8 г,"9,2 г"
Десерты,Апельсиновый десерт,"56,7 кКал","0,7 г","0,2 г",14 г
Десерты,Апельсины в ванильном соусе,"68,7 кКал","2,4 г","1,7 г","11,6 г"
Десерты,Безе,"234,4 кКал",1 г,0 г,"61,4 г"
Десерты,Безе,"304,8 кКал","2,3 г",0 г,"78,8 г"
Десерты,Бисквит из яичных белков,"319,2 кКал","11,1 г","12,3 г","43,7 г"
Десерты,Блинчики из овсяных хлопьев,"170,1 кКал","5,2 г","9,2 г","17,7 г"
Десерты,Блинчики с маком,"214,3 кКал","7,4 г","10,6 г","23,7 г"
Десерты,Блинчики с морковью,"105,4 кКал","4,2 г","5,3 г",11 г
Десерты,"Блинчики с мясным, ливерным, творожным, яблочным фаршем, джемом, повидлом или вареньем","278,3 кКал","13,7 г","18,1 г","16,1 г"
Десерты,Блинчики-полуфабрикат (оболочка),153 кКал,"6,4 г","4,8 г","22,6 г"
Десерты,Блины,"232,5 кКал","6,1 г","12,3 г",26 г
Десерты,Блины гречневые,"229,1 кКал","6,8 г","13,1 г","22,3 г"
Десерты,Блины гурьевские,"178,6 кКал","6,5 г","8,6 г","19,9 г"
Десерты,Блины дехканские,"210,2 кКал",7 г,"1,1 г","45,8 г"
Десерты,Блины из вареного картофеля,"189,3 кКал",4 г,"11,9 г","17,6 г"
Десерты,Блины из капусты,"154,4 кКал",4 г,"12,2 г","7,7 г"
Десерты,Блины из тыквы,"138,3 кКал","2,6 г","8,3 г","14,3 г"
Десерты,Блины красные,"174,7 кКал","4,5 г","13,1 г","10,3 г"
Десерты,Блины кукурузные (чечено-ингушское национальное блюдо),221 кКал,"6,1 г","11,8 г",24 г
Десерты,Блины с квашенной капустой,"106,6 кКал","3,4 г","3,3 г","16,8 г"
Десерты,Блины славянские,218 кКал,"9,3 г","8,7 г","27,2 г"
Десерты,Блины со сладким соусом по-староелецки,"291,7 кКал","6,6 г","20,7 г","21,1 г"
Десерты,Блины-скородумки,"127,2 кКал","4,8 г","5,8 г","14,9 г"
Десерты,Брусника свежая с сахаром,"146,9 кКал","0,5 г","0,3 г","37,8 г"
Десерты,Ванильный крем,"190,6 кКал","4,5 г","12,8 г","15,2 г"
Десерты,Ванильный соус,"72,1 кКал","3,5 г","2,8 г","8,8 г"
Десерты,Вафли,"210,9 кКал","5,5 г","6,5 г","34,9 г"
Десерты,Вафли на вафельнице,"319,3 кКал","4,8 г","18,6 г","35,5 г"
Десерты,Взбитый лимонный соус,"112,4 кКал",2 г,"1,2 г",25 г
Десерты,Взбитый шоколадный соус,"114,7 кКал",5 г,"4,6 г","14,3 г"
Десерты,Взбитый яблочный соус,"82,4 кКал","2,6 г","2,4 г","13,4 г"
Десерты,Вишневый мусс,"150,7 кКал","5,9 г","0,1 г","33,7 г"
Десерты,Галушки яблочные,"89,1 кКал","3,2 г","1,6 г","16,5 г"
Десерты,"Груши, начиненные творогом","65,4 кКал","2,2 г","2,5 г","9,1 г"
Десерты,Густой шоколадный соус,"316,6 кКал","2,1 г",18 г,"39,1 г"
Десерты,"Десерт ""Птичье молоко""","288,9 кКал","5,1 г","13,8 г","38,5 г"
Десерты,"Десерт из сметаны ""Радуга""","185,6 кКал","3,9 г","14,7 г",10 г
Десерты,Десерт молочный (чувашское национальное блюдо),"222,4 кКал","5,1 г","5,5 г","40,7 г"
Десерты,Желе из барбариса,"218,3 кКал",0 г,0 г,"58,2 г"
Десерты,Желе из водяники,"67,4 кКал","2,6 г","0,01 г","15,1 г"
Десерты,Желе из кишмиша,247 кКал,0 г,0 г,"65,9 г"
Десерты,"Желе из лимонов, апельсинов, мандаринов (лимон)","69,4 кКал","2,6 г","0,03 г","15,6 г"
Десерты,Желе из молока,"192,1 кКал","6,3 г","11,1 г","17,9 г"
Десерты,Желе из плодов или ягод свежих,"69,1 кКал","2,5 г","0,04 г","15,6 г"
Десерты,Желе из сиропа плодового или ягодного,"10,5 кКал","2,6 г","0,01 г","0,02 г"
Десерты,Желе из сливок,249 кКал,"6,4 г",12 г,"30,9 г"
Десерты,"Желе из экстракта плодового или ягодного, или из сока плодового или ягодного натурального (сок)","82,3 кКал","2,7 г","0,1 г","18,9 г"
Десерты,Желе лимонное,"87,6 кКал","2,8 г","0,02 г","20,3 г"
Десерты,Желе мясное или рыбное,140 кКал,"21,7 г","5,7 г","0,6 г"
Десерты,Желе с плодами свежими и консервированными,"53,7 кКал","2,1 г","0,1 г","11,7 г"
Десерты,"Изюм или чернослив, или курага в медовом желе (башкирское национальное блюдо)","137,2 кКал","2,8 г","0,2 г","33,2 г"
Десерты,Клубника с творогом,"77,6 кКал","6,5 г","1,1 г","11,1 г"
Десерты,"Клубничный ""снег""","152,7 кКал","3,2 г","0,2 г","36,8 г"
Десерты,Клубничный пудинг,"75,6 кКал",2 г,"1,4 г","14,6 г"
Десерты,Клюквенный мусс,71 кКал,"1,2 г","0,08 г","17,5 г"
Десерты,Клюквенный соус,"96,9 кКал","0,6 г","7,5 г","7,1 г"
Десерты,"Коврижка ""Диетическая""","154,7 кКал",5 г,"3,8 г","26,8 г"
Десерты,Козинаки,"419,4 кКал","2,4 г","19,8 г","61,8 г"
Десерты,Кофейный крем,"181,2 кКал","5,5 г","10,1 г","18,3 г"
Десерты,Крем ванильный из сметаны,200 кКал,"4,1 г","12,2 г","19,7 г"
Десерты,"Крем ванильный, шоколадный, кофейный","174,2 кКал","4,5 г","10,6 г","16,2 г"
Десерты,Крем из клубники,"73,4 кКал","2,9 г","1,9 г","11,8 г"
Десерты,Крем из клюквы и тыквы,"178,7 кКал","3,8 г","6,7 г","27,6 г"
Десерты,Крем из ревеня,"174,9 кКал","2,1 г","6,6 г","28,5 г"
Десерты,Крем из ржаного хлеба,"154,5 кКал","4,1 г","5,7 г","23,1 г"
Десерты,Крем из смородины,"176,4 кКал","3,6 г","3,1 г","35,6 г"
Десерты,Крем из черники,"119,1 кКал","5,7 г","2,5 г","19,6 г"
Десерты,Крем твороженный,"135,8 кКал","3,8 г",3 г,"24,8 г"
Десерты,Крем ягодный,"179,6 кКал","3,3 г","11,3 г","17,2 г"
Десерты,Крем-крокант,"199,8 кКал","4,6 г","6,5 г","32,8 г"
Десерты,Крем-мокко,"193,9 кКал","5,7 г","8,9 г","24,4 г"
Десерты,Кулага,"92,7 кКал","1,4 г","0,4 г","22,1 г"
Десерты,Лантутики,"227,9 кКал","8,4 г","12,1 г","22,7 г"
Десерты,Лимонное пирожное,"219,9 кКал","5,3 г","12,2 г","23,8 г"
Десерты,Лимонный крем,"177,4 кКал","6,5 г","10,2 г","15,8 г"
Десерты,Лимонный снежок,"218,6 кКал","7,6 г","4,8 г","38,7 г"
Десерты,Лимонный соус,"149,9 кКал","1,5 г","13,3 г","6,4 г"
Десерты,Лимонный соус,"173,1 кКал","4,1 г","14,9 г","6,1 г"
Десерты,Лимонный соус,56 кКал,"0,03 г","0,003 г","14,9 г"
Десерты,Лимонный творог,"238,7 кКал","9,8 г","13,9 г","19,7 г"
Десерты,"Малина или земляника с молоком, сметаной или сливками","78,9 кКал","1,8 г","1,9 г","14,6 г"
Десерты,Мармелад из абрикосов,"198,9 кКал","0,5 г","0,05 г","52,4 г"
Десерты,Мармелад из абрикосов в кожице,"183,6 кКал","0,5 г","0,06 г","48,3 г"
Десерты,Мармелад из брусники и яблок,"112,7 кКал","0,5 г","0,3 г","28,7 г"
Десерты,Мармелад из черники,"57,6 кКал",1 г,"0,6 г",13 г
Десерты,Медовая горка,"270,4 кКал","5,8 г","1,5 г","62,5 г"
Десерты,"Мороженое ""Сюрприз""","194,3 кКал","3,6 г","6,3 г","32,7 г"
Десерты,Мороженое с плодами или ягодами консервированными,"222,9 кКал","4,5 г","15,5 г","17,5 г"
Десерты,Мусс из растворимого кофе,"104,3 кКал","4,1 г","1,5 г","19,9 г"
Десерты,Мусс из ревеня,"87,6 кКал","0,9 г","0,07 г","22,2 г"
Десерты,Мусс из ржаной муки,"94,9 кКал","0,9 г","0,1 г","24,1 г"
Десерты,Мусс из смородины,"113,3 кКал","2,1 г","0,06 г","27,8 г"
Десерты,Мусс из тыквы,"91,7 кКал","2,1 г","0,07 г","22,1 г"
Десерты,Мусс клюквенный,"81,9 кКал","2,3 г","0,06 г","19,3 г"
Десерты,Мусс лимонный,"115,1 кКал","2,4 г","0,03 г","28,1 г"
Десерты,Мусс яблочный (на крупе манной),"81,1 кКал","0,9 г","0,2 г","20,3 г"
Десерты,Оладьи,"201,1 кКал","7,4 г","8,9 г","24,5 г"
Десерты,Оладьи,"322,2 кКал",10 г,"13,6 г","42,7 г"
Десерты,Оладьи из моркови,"141,2 кКал",3 г,"9,8 г",11 г
Десерты,Оладьи из тыквы,"180,2 кКал","4,4 г",13 г,"12,2 г"
