Type,Продукт,Калорийность,Белки,Жиры,Углеводы
Coca_Cola,Aquarius [Coca-Cola],18 кКал,0 г,0 г,"4,4 г"
Coca_Cola,Aquarius Lemon [Coca-Cola],14 кКал,0 г,0 г,"3,3 г"
Coca_Cola,Cacaolat [Coca-Cola],40 кКал,"2,7 г","0,5 г","4,3 г"
Coca_Cola,Cherry (Банка) [Coca-Cola],150 кКал,0 г,0 г,42 г
Coca_Cola,Cherry [Coca-Cola],150 кКал,0 г,0 г,42 г
Coca_Cola,Cherry Zero [Coca-Cola],0 кКал,0 г,0 г,0 г
Coca_Cola,Cherry без Сахара [Coca-Cola],0 кКал,0 г,0 г,0 г
Coca_Cola,Coca-Cola,42 кКал,0 г,0 г,"10,6 г"
Coca_Cola,Coca-Cola Cherry без Сахара,0 кКал,0 г,0 г,0 г
Coca_Cola,Coca-Cola Cinnamon,0 кКал,0 г,0 г,0 г
Coca_Cola,Coca-Cola Energy,42 кКал,0 г,0 г,"10,3 г"
Coca_Cola,Coca-Cola Life,90 кКал,0 г,0 г,24 г
Coca_Cola,Coca-Cola Light,0 кКал,0 г,0 г,0 г
Coca_Cola,Coca-Cola Orange без Сахара,1 кКал,0 г,0 г,0 г
Coca_Cola,Coca-Cola Zero,0 кКал,0 г,0 г,0 г
Coca_Cola,Coca-Cola Лайм,43 кКал,0 г,0 г,"10,6 г"
Coca_Cola,Energy без Сахара [Coca-Cola],1 кКал,0 г,0 г,0 г
Coca_Cola,Fanta Apple [Coca-Cola],51 кКал,0 г,0 г,"13,5 г"
Coca_Cola,Sprite [Coca-Cola],19 кКал,0 г,0 г,"4,5 г"
Coca_Cola,Sprite Вкус Огурец [Coca-Cola],39 кКал,0 г,0 г,"9,7 г"
Coca_Cola,Sprite со Вкусом Арбуз-Огурец [Coca-Cola],1 кКал,0 г,0 г,0 г
Coca_Cola,Vanilla [Coca-Cola],150 кКал,0 г,0 г,42 г
Coca_Cola,Vanilla [Coca-Cola],45 кКал,0 г,0 г,"11,2 г"
Coca_Cola,Вода [Coca-Cola],0 кКал,0 г,0 г,0 г
Coca_Cola,Кока-Кола Ванилла [Coca-Cola],45 кКал,0 г,0 г,"11,2 г"
Coca_Cola,Кока-Кола Зеро [Coca-Cola],0 кКал,0 г,0 г,0 г
Coca_Cola,Кола [Coca-Cola],42 кКал,0 г,0 г,"10,6 г"
Coca_Cola,Кола Лайт [Coca-Cola],0 кКал,0 г,0 г,0 г
Coca_Cola,Напиток [Coca-Cola],42 кКал,0 г,0 г,"10,6 г"
