Type,Продукт,Калорийность,Белки,Жиры,Углеводы
Lay_s,Max Мясо на Углях [Lay's],510 кКал,6 г,30 г,54 г
Lay_s,Maxx Куриные Крылышки Барбекю [Lay's],520 кКал,6 г,32 г,53 г
Lay_s,Oven Baked [Lay's],443 кКал,5 г,14 г,71 г
Lay_s,"Stax ""Колбаски Чоризо"" [Lay's]",500 кКал,6 г,27 г,57 г
Lay_s,Stax Копченый Лосось [Lay's],500 кКал,6 г,28 г,56 г
Lay_s,Stax Краб [Lay's],490 кКал,5 г,27 г,57 г
Lay_s,Stax Рёбрышки Барбекю [Lay's],500 кКал,6 г,25 г,62 г
Lay_s,Stax Ребрышки Барбекю [Lay's],490 кКал,6 г,27 г,56 г
Lay_s,Stax с Луком [Lay's],520 кКал,"5,5 г",30 г,57 г
Lay_s,Stax с Солью [Lay's],530 кКал,5 г,31 г,57 г
Lay_s,Stax Сливочный Сыр [Lay's],500 кКал,6 г,28 г,55 г
Lay_s,Stax Сметана и Лук [Lay's],490 кКал,6 г,27 г,56 г
Lay_s,Stix Кетчуп [Lay's],510 кКал,6 г,30 г,53 г
Lay_s,Stix Сыр Чеддер [Lay's],520 кКал,6 г,32 г,53 г
Lay_s,Strong Королевская Креветка [Lay's],510 кКал,6 г,30 г,53 г
Lay_s,Strong Охотничьи Колбаски [Lay's],500 кКал,6 г,30 г,52 г
Lay_s,Strong Холодец с Хреном [Lay's],500 кКал,"6,2 г",30 г,52 г
Lay_s,Strong Чипсы К Пиву Чеснок [Lay's],510 кКал,"6,5 г",30 г,53 г
Lay_s,Белые Грибы со Сметаной [Lay's],520 кКал,6 г,32 г,51 г
Lay_s,Грибы в Сливочном Соусе [Lay's],520 кКал,6 г,31 г,53 г
Lay_s,из Печи Ароматный Укроп [Lay's],450 кКал,5 г,17 г,68 г
Lay_s,Итальянская Фокачча [Lay's],510 кКал,"6,5 г",30 г,53 г
Lay_s,Картофельные Чипсы со Вкусом Ароматный Укроп [Lay's],450 кКал,5 г,17 г,69 г
Lay_s,Картофельные Чипсы со Вкусом Сыра [Lay's],520 кКал,"6,5 г",31 г,53 г
Lay_s,Картошечка с Маслом и Укропом [Lay's],520 кКал,6 г,32 г,52 г
Lay_s,Лосось в Сливочном Соусе [Lay's],520 кКал,6 г,32 г,53 г
Lay_s,Мега Бекон [Lay's],510 кКал,"6,5 г",30 г,53 г
Lay_s,Пикантная Паприка [Lay's],490 кКал,5 г,27 г,57 г
Lay_s,Рёбрышки Гриль [Lay's],520 кКал,6 г,32 г,53 г
Lay_s,Сметана и Лук [Lay's],510 кКал,6 г,30 г,53 г
Lay_s,Соломка из Натурального Картофеля [Lay's],510 кКал,6 г,30 г,53 г
Lay_s,Чипсы «Красная Икра» [Lay's],530 кКал,6 г,32 г,54 г
Lay_s,Чипсы [Lay's],520 кКал,6 г,32 г,53 г
Lay_s,Чипсы Black Star Burger BBQ [Lay's],510 кКал,6 г,30 г,53 г
Lay_s,Чипсы Strong Королевская Креветка [Lay's],510 кКал,6 г,30 г,53 г
Lay_s,Чипсы Strong Острый Чили [Lay's],500 кКал,"6,5 г",30 г,52 г
Lay_s,Чипсы Strong Охотничьи Колбаски [Lay's],500 кКал,"6,4 г",30 г,52 г
Lay_s,Чипсы Аргентинские Ребрышки [Lay's],510 кКал,6 г,30 г,53 г
Lay_s,Чипсы Белые Грибы со Сметаной [Lay's],520 кКал,6 г,32 г,51 г
Lay_s,Чипсы Донер [Lay's],510 кКал,6 г,30 г,53 г
Lay_s,Чипсы Зелёный Лук [Lay's],510 кКал,"6,5 г",30 г,53 г
Lay_s,Чипсы Зеленый Лук [Lay's],510 кКал,"6,5 г",30 г,53 г
Lay_s,Чипсы из Печи Королевский Краб [Lay's],440 кКал,"5,5 г",16 г,69 г
Lay_s,Чипсы из Печи Лисички в Сметане [Lay's],450 кКал,6 г,17 г,68 г
Lay_s,Чипсы из Печи Нежный Сыр с Зеленью [Lay's],440 кКал,"5,5 г",16 г,69 г
Lay_s,Чипсы из Печи Сметана и Ароматные Травы [Lay's],440 кКал,"5,5 г",16 г,69 г
