Type,Продукт,Калорийность,Белки,Жиры,Углеводы
Ашан,Arome Framboise [Ашан],37 кКал,"4,3 г","0,1 г","4,7 г"
Ашан,Cannelloni [Ашан],324 кКал,12 г,1 г,67 г
Ашан,Caramchoc [Ашан],396 кКал,"8,4 г","5,2 г",76 г
Ашан,Choco Crac [Ашан],506 кКал,"8,2 г",26 г,59 г
Ашан,Crousty [Ашан],414 кКал,"5,4 г","11,3 г","71,1 г"
Ашан,Fromage Blanc [Ашан],110 кКал,7 г,"7,8 г","2,9 г"
Ашан,Fromage Blanc 0% [Ашан],46 кКал,8 г,0 г,"3,4 г"
Ашан,Fromage Blanc Vanille 0% [Ашан],76 кКал,"7,1 г","0,1 г",12 г
Ашан,Fromage Frais [Ашан],46 кКал,8 г,"0,1 г","3,4 г"
Ашан,Galletas Fondants [Ашан],513 кКал,"7,5 г",24 г,65 г
Ашан,Golden Crack [Ашан],379 кКал,"6,5 г",2 г,81 г
Ашан,Lait Fourre [Ашан],569 кКал,"8,3 г",37 г,50 г
Ашан,Minicookies [Ашан],392 кКал,"8,1 г",4 г,78 г
Ашан,Noir Degustation 72% [Ашан],555 кКал,"8,4 г","42,1 г","29,7 г"
Ашан,Noir Degustation 74% [Ашан],569 кКал,8 г,"44,4 г","28,6 г"
Ашан,Noir Degustation 85% [Ашан],591 кКал,8 г,"51,6 г","16,8 г"
Ашан,Pastina Gemmine [Ашан],350 кКал,12 г,"1,2 г",71 г
Ашан,Petit Brie [Ашан],355 кКал,19 г,31 г,"0,1 г"
Ашан,Pomme Fraise [Ашан],69 кКал,"0,5 г","0,5 г",14 г
Ашан,Puffed Heart [Ашан],386 кКал,"9,8 г","1,9 г",79 г
Ашан,Up To Go A Grignoter [Ашан],474 кКал,"5,8 г",18 г,71 г
Ашан,Абрикос [Ашан],44 кКал,"0,9 г","0,1 г",9 г
Ашан,Абрикос Сушеный [Ашан],230 кКал,5 г,"0,5 г",51 г
Ашан,Абрикосы Сушёные [Ашан],220 кКал,"1,5 г","0,5 г",52 г
Ашан,Авокадо Хасс [Ашан],144 кКал,2 г,16 г,"2,6 г"
Ашан,Азиатский Соус Wok с Грибами Шиитаке [Ашан],150 кКал,2 г,10 г,14 г
Ашан,"Азу из Говядины ""Фермерская"" [Ашан]",240 кКал,14 г,20 г,0 г
Ашан,Азу из Говядины [Ашан],123 кКал,19 г,5 г,0 г
Ашан,Азу из Мяса Молодых Бычков [Ашан],240 кКал,14 г,20 г,0 г
Ашан,Айва [Ашан],40 кКал,"0,6 г","0,5 г","9,8 г"
Ашан,Алыча [Ашан],27 кКал,"0,2 г",0 г,"6,9 г"
Ашан,Ананас [Ашан],38 кКал,"0,4 г","0,2 г","11,5 г"
Ашан,Ананас в Сиропе Кусочки [Ашан],70 кКал,0 г,0 г,17 г
Ашан,Ананас Кольцо [Ашан],356 кКал,"0,7 г","0,8 г","83,4 г"
Ашан,Ананас Кольцо Вес [Ашан],120 кКал,"1,5 г","0,3 г",30 г
Ашан,Ананас Листики Микс (Сушеный) [Ашан],350 кКал,0 г,0 г,87 г
Ашан,Ананас Сушеные Язычки [Ашан],339 кКал,"0,8 г","0,4 г","82,2 г"
Ашан,Ананас Сушеный Кубик [Ашан],339 кКал,"0,8 г","0,4 г","82,2 г"
Ашан,Ананас Сушеный Язычки [Ашан],339 кКал,"0,8 г","0,4 г","82,2 г"
Ашан,Антрекот из Говядины [Ашан],131 кКал,17 г,7 г,0 г
Ашан,Антрекот из Телятины [Ашан],85 кКал,19 г,1 г,0 г
Ашан,Антрекот на Кости из Мяса Молодых Бычков [Ашан],160 кКал,17 г,10 г,0 г
Ашан,Апельсин [Ашан],43 кКал,"0,9 г","0,2 г","8,1 г"
Ашан,Апельсин Темный Шоколад со Стевией [Ашан],453 кКал,"5,2 г","31,8 г","37,1 г"
Ашан,Арахис в Кокосовой Глазури [Ашан],339 кКал,10 г,26 г,60 г
Ашан,Арахис в Кунжуте [Ашан],480 кКал,14 г,28 г,52 г
Ашан,Арахис в Молочном Шоколаде [Ашан],488 кКал,"8,3 г","23,2 г","64,5 г"
Ашан,Арахис в Сахаре [Ашан],460 кКал,"7,5 г",15 г,75 г
Ашан,Арахис в Сырной Корочке [Ашан],498 кКал,13 г,"32,8 г","37,7 г"
Ашан,Арахис в Хрустящей Корочке Васаби [Ашан],498 кКал,13 г,"32,8 г","37,7 г"
Ашан,Арахис Жареный Солёный [Ашан],640 кКал,25 г,52 г,17 г
Ашан,Арахис Необжаренный Несоленый [Ашан],561 кКал,"27,9 г","47,9 г","4,5 г"
Ашан,Арахис с Васаби [Ашан],225 кКал,16 г,31 г,39 г
Ашан,Арахис Соленый Жареный [Ашан],640 кКал,25 г,52 г,17 г
Ашан,Арахис Сырой Очищенный [Ашан],550 кКал,26 г,45 г,"8,5 г"
Ашан,Ассорти из Морепродуктов [Ашан],54 кКал,"8,6 г","1,4 г","1,6 г"
Ашан,Ассорти из Морепродуктов с/М [Ашан],69 кКал,"7,9 г","0,9 г","7,4 г"
Ашан,Ассорти из Тропических Фруктов [Ашан],60 кКал,0 г,0 г,14 г
Ашан,Ассорти Куриное [Ашан],197 кКал,"14,2 г","10,3 г","11,6 г"
Ашан,Багет 8 Злаков [Ашан],253 кКал,13 г,5 г,39 г
Ашан,Багет Ароматный с Солодом и Кориандром [Ашан],229 кКал,"6,1 г","1,1 г",43 г
Ашан,Багет Гурман [Ашан],240 кКал,8 г,1 г,48 г
Ашан,Багет Гурман Фитнес [Ашан],200 кКал,6 г,1 г,41 г
Ашан,Багет Здоровье [Ашан],200 кКал,6 г,1 г,41 г
Ашан,Багет Луковый [Ашан],245 кКал,7 г,1 г,50 г
Ашан,Багет Мексиканский [Ашан],253 кКал,"8,2 г","1,2 г","51,3 г"
Ашан,Багет Парижский [Ашан],267 кКал,"8,2 г","0,9 г","54,9 г"
Ашан,Багет Пряный Аромат [Ашан],231 кКал,"8,3 г","0,9 г","46,5 г"
Ашан,Багет Пшенично-Ржаной [Ашан],283 кКал,"9,5 г","4,9 г","49,3 г"
Ашан,Багет Пшеничный с Кунжутом [Ашан],267 кКал,"8,2 г","0,9 г","54,9 г"
Ашан,Багет Пшеничный с Луком [Ашан],267 кКал,"8,2 г","0,9 г","54,9 г"
Ашан,Багет Ржано-Пшеничный [Ашан],212 кКал,"6,6 г","1,4 г","39,1 г"
Ашан,Багет с Курицей [Ашан],215 кКал,23 г,11 г,42 г
Ашан,Багет с Луком [Ашан],225 кКал,"8,3 г","1,3 г","48,1 г"
Ашан,Багет с Отрубями [Ашан],254 кКал,"8,8 г","4,2 г","49,8 г"
Ашан,Багет с Травами [Ашан],300 кКал,"6,5 г","10,4 г","45,1 г"
Ашан,Багет с Чесноком [Ашан],303 кКал,"6,7 г",11 г,45 г
Ашан,Багет со Злаками и Чесноком [Ашан],300 кКал,"6,5 г","10,4 г","45,1 г"
Ашан,Багет Традиционный [Ашан],314 кКал,"9,6 г","1,8 г","68,6 г"
Ашан,Багет Французский [Ашан],255 кКал,"8,1 г",1 г,"53,3 г"
Ашан,Багет Французский с Чесночным Маслом [Ашан],321 кКал,7 г,13 г,"43,7 г"
Ашан,Багет Чико [Ашан],328 кКал,7 г,"12,7 г","46,4 г"
Ашан,Багет Шпинатный [Ашан],80 кКал,1 г,2 г,14 г
Ашан,Баклажаны По-Гречески [Ашан],45 кКал,"1,1 г",1 г,"7,8 г"
Ашан,Баклажаны по-Итальянски [Ашан],65 кКал,1 г,3 г,9 г
Ашан,Баклажаны по-Корейски [Ашан],96 кКал,"1,3 г","7,1 г","6,7 г"
Ашан,Баклажаны с Паприкой [Ашан],96 кКал,"1,2 г",7 г,"7,6 г"
Ашан,Балык Свиной [Ашан],158 кКал,17 г,10 г,0 г
Ашан,Бальзамический Уксус [Ашан],122 кКал,"0,8 г","0,1 г","29,2 г"
Ашан,Банан [Ашан],96 кКал,"1,5 г","0,5 г",21 г
Ашан,Банановые Чипсы [Ашан],339 кКал,"4,7 г",31 г,"53,6 г"
Ашан,Баранина Тазобедренная Часть [Ашан],198 кКал,"16,1 г","14,9 г",0 г
Ашан,Баранки Сдобные с Маком [Ашан],380 кКал,"8,5 г","8,5 г",69 г
Ашан,Батат [Ашан],61 кКал,2 г,0 г,"14,6 г"
Ашан,Батон [Ашан],263 кКал,"7,5 г","2,9 г","50,5 г"
Ашан,Батон Арбатский [Ашан],268 кКал,"8,3 г","2,2 г","52,4 г"
Ашан,Батон Домашний [Ашан],262 кКал,"8,3 г","1,7 г","52,4 г"
Ашан,Батон Нарезной [Ашан],263 кКал,"7,7 г","2,9 г","50,5 г"
Ашан,Батон с Изюмом [Ашан],279 кКал,10 г,"4,9 г","48,8 г"
Ашан,Батон с Солодом и Кориандром [Ашан],259 кКал,"6,1 г","1,1 г",43 г
Ашан,Батончик Barre Chocolat Noir [Ашан],86 кКал,"1,6 г","2,9 г","13,4 г"
Ашан,Батончик Энерджи-Мик [Ашан],400 кКал,11 г,18 г,48 г
Ашан,Батончики Мюсли Зеленое Яблоко [Ашан],391 кКал,5 г,"6,2 г","74,9 г"
Ашан,Батончики Мюсли Красные Фрукты [Ашан],388 кКал,"5,2 г","8,9 г","71,8 г"
Ашан,Батончики Мюсли Шоколадные [Ашан],87 кКал,"1,1 г","2,4 г","14,9 г"
Ашан,Бедра Куриные [Ашан],145 кКал,15 г,11 г,"0,3 г"
Ашан,Бедро Индейки Гриль [Ашан],132 кКал,15 г,8 г,0 г
Ашан,Безе Меренги [Ашан],389 кКал,"4,5 г",0 г,"92,7 г"
Ашан,Бекон Копчено-Вареный [Ашан],446 кКал,8 г,46 г,0 г
Ашан,Белый Грейпфрут [Ашан],33 кКал,"0,7 г","0,1 г","8,4 г"
Ашан,Бельгийские Вафли [Ашан],399 кКал,"7,6 г","19,6 г","55,3 г"
Ашан,Бельгийские Вафли со Сгущеным Молоком [Ашан],339 кКал,"7,6 г","19,6 г","55,3 г"
Ашан,Беляш с Мясом [Ашан],402 кКал,"11,6 г","24,2 г","33,7 г"
Ашан,Бефстроганов из Телятины [Ашан],100 кКал,"19,5 г","2,5 г",0 г
Ашан,Био Овощной Суп-Пюре [Ашан],25 кКал,1 г,1 г,"2,7 г"
Ашан,Био Соевый Натуральный Напиток [Ашан],36 кКал,"3,5 г",2 г,1 г
Ашан,Био-Йогурт 1% [Ашан],40 кКал,"3,2 г",1 г,4 г
Ашан,Био-Йогурт Инжир-Чиа [Ашан],83 кКал,"3,3 г",2 г,13 г
Ашан,Био-Йогурт Малина [Ашан],83 кКал,"3,3 г",2 г,13 г
Ашан,Био-Йогурт Чернослив-Злаки [Ашан],83 кКал,"3,3 г",2 г,13 г
Ашан,Биойогурт [Ашан],40 кКал,"3,2 г",1 г,4 г
Ашан,Биокефир 1% [Ашан],36 кКал,"3,1 г",1 г,"3,6 г"
Ашан,"Бисквитное Пирожное ""Какао-Молоко"" [Ашан]",435 кКал,"5,8 г","21,9 г","52,9 г"
Ашан,Бисквитные Палочки [Ашан],519 кКал,"6,4 г","27,1 г","61,2 г"
Ашан,Бифидум Бактерин [Ашан],49 кКал,"2,9 г","2,5 г","3,9 г"
Ашан,Бифидус Натуральный [Ашан],64 кКал,"3,8 г","3,5 г","4,3 г"
Ашан,"Бифштекс Говяжий ""Фермерский"" [Ашан]",160 кКал,18 г,10 г,0 г
Ашан,Бифштекс Говяжий [Ашан],160 кКал,18 г,10 г,0 г
Ашан,Бифштекс из Говядины [Ашан],107 кКал,20 г,3 г,0 г
Ашан,Бифштекс из Мраморной Говядины [Ашан],180 кКал,18 г,12 г,0 г
Ашан,Бифштекс с Беконом по-Итальянски Фермерский [Ашан],190 кКал,14 г,15 г,0 г
Ашан,Бифштекс с Яйцом [Ашан],326 кКал,"26,1 г",24 г,"1,6 г"
Ашан,Блинчики без Начинки [Ашан],206 кКал,8 г,"4,7 г","32,9 г"
Ашан,Блинчики с Абрикосовой Начинкой [Ашан],221 кКал,"4,4 г","3,3 г","43,5 г"
Ашан,Блинчики с Варёной Сгущёнкой [Ашан],292 кКал,"5,7 г","11,7 г","40,9 г"
Ашан,Блинчики с Ветчиной и Сыром [Ашан],198 кКал,"9,8 г","11,3 г","13,8 г"
Ашан,Блинчики с Вишневой Начинкой [Ашан],137 кКал,"2,6 г","1,1 г","29,5 г"
Ашан,Блинчики с Вишней [Ашан],187 кКал,"3,8 г","2,2 г","38,1 г"
Ашан,Блинчики с Курицей [Ашан],212 кКал,11 г,"8,4 г","23,2 г"
Ашан,Блинчики с Мясом [Ашан],253 кКал,12 г,"11,7 г",25 г
Ашан,Блинчики с Творогом [Ашан],178 кКал,"9,3 г",5 г,"23,9 г"
Ашан,"Блинчики Яблоко, Лимон, Корица [Ашан]",192 кКал,"4,1 г","2,2 г","38,9 г"
Ашан,Блины Простые [Ашан],178 кКал,"4,6 г","3,2 г","4,2 г"
Ашан,Бородинские Традиции с Солодом [Ашан],216 кКал,"7,8 г","0,9 г","43,3 г"
Ашан,Борщ Говядина [Ашан],73 кКал,"3,3 г","3,3 г","7,5 г"
Ашан,Бостон (Крем Ваниль) [Ашан],300 кКал,"3,5 г",17 г,30 г
Ашан,Бразильский Орех [Ашан],590 кКал,13 г,62 г,16 г
Ашан,Брауни [Ашан],437 кКал,"4,9 г",24 г,51 г
Ашан,Бретонские Галеты со Сливочным Маслом [Ашан],520 кКал,"6,5 г","26,5 г",63 г
Ашан,Брецель с Солью [Ашан],250 кКал,7 г,3 г,46 г
Ашан,Бри Де Фамиль [Ашан],280 кКал,18 г,23 г,0 г
Ашан,Бриош Парижский [Ашан],327 кКал,"8,7 г","7,9 г",55 г
Ашан,Бриош Руанский [Ашан],338 кКал,"8,5 г","8,8 г",56 г
Ашан,Бриошь с Шоколадом [Ашан],350 кКал,"8,5 г",9 г,59 г
Ашан,Бриут с Куриной Грудкой [Ашан],320 кКал,"10,5 г","16,3 г","32,2 г"
Ашан,Брокколи [Ашан],24 кКал,"2,7 г","0,4 г","4,7 г"
Ашан,Брокколи Замороженная [Ашан],26 кКал,"2,8 г","0,5 г","3,9 г"
Ашан,Брокколи на Пару [Ашан],33 кКал,"2,5 г","0,4 г","5,1 г"
Ашан,Брюссельская Капуста Замороженная [Ашан],45 кКал,5 г,0 г,6 г
Ашан,Бублик с Кунжутом [Ашан],177 кКал,5 г,5 г,31 г
Ашан,Бублик с Маком [Ашан],177 кКал,5 г,5 г,31 г
Ашан,Буженина [Ашан],250 кКал,10 г,23 г,0 г
Ашан,Буженина Запеченая [Ашан],308 кКал,14 г,28 г,0 г
Ашан,Буженина Купеческая [Ашан],273 кКал,12 г,25 г,0 г
Ашан,Булгур [Ашан],370 кКал,12 г,"1,5 г",76 г
Ашан,Булгур Био [Ашан],340 кКал,"13,2 г","1,7 г",63 г
Ашан,Булка с Корицей и Миндалём [Ашан],398 кКал,"9,3 г","8,9 г",68 г
Ашан,Булка Французская [Ашан],260 кКал,"8,2 г","0,9 г","54,9 г"
Ашан,Булочка [Ашан],267 кКал,"8,2 г","0,9 г","54,9 г"
Ашан,Булочка 8 Злаков [Ашан],227 кКал,"13,9 г","5,3 г","43,7 г"
Ашан,Булочка Баварская [Ашан],195 кКал,"5,5 г","1,5 г",42 г
Ашан,Булочка Бургер Дарк [Ашан],249 кКал,"6,1 г","4,5 г","46,1 г"
Ашан,Булочка Гурман [Ашан],240 кКал,"8,5 г",1 г,49 г
Ашан,Булочка Даллас [Ашан],402 кКал,"8,5 г","16,9 г","54,2 г"
Ашан,Булочка Кайзерка [Ашан],232 кКал,7 г,"1,7 г","47,2 г"
Ашан,Булочка Кукурузная [Ашан],260 кКал,12 г,"2,5 г","28,5 г"
Ашан,Булочка Отрубная [Ашан],240 кКал,"7,5 г","3,5 г",44 г
