Type,Продукт,Калорийность,Белки,Жиры,Углеводы
Макдоналдс_(McDonalds),Айс Кофе [Макдоналдс],130 кКал,"3,6 г","3,7 г",21 г
Макдоналдс_(McDonalds),Айс Кофе [Макдоналдс],42 кКал,"1,2 г","1,4 г","6,3 г"
Макдоналдс_(McDonalds),Айс Кофе Гранд [Макдоналдс],358 кКал,"4,5 г",20 г,39 г
Макдоналдс_(McDonalds),Американо [Макдоналдс],10 кКал,"0,9 г","0,3 г","0,9 г"
Макдоналдс_(McDonalds),"Апельсиновый Сок (0,25 L) [Макдоналдс]",153 кКал,"3,8 г","0,6 г",30 г
Макдоналдс_(McDonalds),"Апельсиновый Сок (0,3 L) [Макдоналдс]",150 кКал,0 г,0 г,33 г
Макдоналдс_(McDonalds),"Апельсиновый Сок (0,4 L) [Макдоналдс]",190 кКал,3 г,1 г,41 г
Макдоналдс_(McDonalds),"Апельсиновый Сок (0,47 L) [Макдоналдс]",235 кКал,0 г,0 г,52 г
Макдоналдс_(McDonalds),"Апельсиновый Сок (0,5 L) [Макдоналдс]",240 кКал,4 г,1 г,52 г
Макдоналдс_(McDonalds),Биг Брекфаст Ролл [Макдоналдс],583 кКал,25 г,31 г,48 г
Макдоналдс_(McDonalds),Биг Маг [Макдоналдс],495 кКал,27 г,25 г,40 г
Макдоналдс_(McDonalds),Биг Мак [Макдоналдс],522 кКал,27 г,27 г,42 г
Макдоналдс_(McDonalds),Биг Мак без Соуса [Макдоналдс],234 кКал,"12,8 г","11,6 г","19,3 г"
Макдоналдс_(McDonalds),Биг Мак Бекон-Томат-Салат [Макдоналдс],549 кКал,29 г,29 г,42 г
Макдоналдс_(McDonalds),Биг Тейсти [Макдоналдс],800 кКал,43 г,47 г,49 г
Макдоналдс_(McDonalds),Биг Тейсти Бекон [Макдоналдс],854 кКал,47 г,51 г,50 г
Макдоналдс_(McDonalds),Биг Тейсти Джуниор [Макдоналдс],573 кКал,31 г,33 г,36 г
Макдоналдс_(McDonalds),Биг Тейсти Острый [Макдоналдс],801 кКал,44 г,46 г,52 г
Макдоналдс_(McDonalds),Биг Тейсти Ролл [Макдоналдс],521 кКал,26 г,30 г,36 г
Макдоналдс_(McDonalds),Биг Тейсти с Беконом [Макдоналдс],854 кКал,47 г,51 г,50 г
Макдоналдс_(McDonalds),Биг Тейсти Чураско [Макдоналдс],807 кКал,44 г,46 г,51 г
Макдоналдс_(McDonalds),Билли Бекон [Макдоналдс],659 кКал,40 г,33 г,48 г
Макдоналдс_(McDonalds),Биф а-ля Рус [Макдоналдс],580 кКал,25 г,33 г,41 г
Макдоналдс_(McDonalds),Биф А-Ля Рус с Беконом [Макдоналдс],579 кКал,30 г,32 г,42 г
Макдоналдс_(McDonalds),Биф Ролл [Макдоналдс],520 кКал,20 г,29 г,43 г
Макдоналдс_(McDonalds),Биффер [Макдоналдс],258 кКал,12 г,13 г,23 г
Макдоналдс_(McDonalds),Бифштекс Рубленный [Макдоналдс],220 кКал,19 г,16 г,0 г
Макдоналдс_(McDonalds),Блинчики [Макдоналдс],241 кКал,"7,5 г","3,2 г",45 г
Макдоналдс_(McDonalds),Блины (Стандартные) [Макдоналдс],235 кКал,7 г,3 г,45 г
Макдоналдс_(McDonalds),Блины с Джемом [Макдоналдс],285 кКал,7 г,3 г,57 г
Макдоналдс_(McDonalds),Блины с Мёдом [Макдоналдс],315 кКал,10 г,11 г,44 г
Макдоналдс_(McDonalds),Большие Креветки (4) [Макдоналдс],180 кКал,"9,9 г",9 г,15 г
Макдоналдс_(McDonalds),Большие Креветки (4) [Макдоналдс],180 кКал,"9,9 г",9 г,15 г
Макдоналдс_(McDonalds),Большие Креветки (6) [Макдоналдс],271 кКал,15 г,14 г,22 г
Макдоналдс_(McDonalds),Большие Креветки (9) [Макдоналдс],406 кКал,22 г,20 г,34 г
Макдоналдс_(McDonalds),Большой Завтрак [Макдоналдс],550 кКал,28 г,30 г,40 г
Макдоналдс_(McDonalds),Большой завтрак McDonalds [Макдоналдс],640 кКал,30 г,30 г,62 г
Макдоналдс_(McDonalds),Большой завтрак McDonalds с джемом [Макдоналдс],675 кКал,30 г,35 г,58 г
Макдоналдс_(McDonalds),Большой завтрак McDonalds с мёдом [Макдоналдс],685 кКал,30 г,35 г,60 г
Макдоналдс_(McDonalds),Ванильное Печенье с Кусочками Шоколада [Макдоналдс],360 кКал,4 г,18 г,44 г
Макдоналдс_(McDonalds),Ванильный Сироп [Макдоналдс],62 кКал,0 г,0 г,15 г
Макдоналдс_(McDonalds),Вафельный Рожок [Макдоналдс],164 кКал,"3,8 г","3,6 г",29 г
Макдоналдс_(McDonalds),Венская Вафля [Макдоналдс],309 кКал,"5,9 г",15 г,43 г
Макдоналдс_(McDonalds),Вестерн Гурмэ [Макдоналдс],667 кКал,34 г,36 г,51 г
Макдоналдс_(McDonalds),Вишневый Пирожок [Макдоналдс],249 кКал,"2,8 г",12 г,32 г
Макдоналдс_(McDonalds),Гамбургер [Макдоналдс],251 кКал,13 г,"8,8 г",29 г
Макдоналдс_(McDonalds),Гляссе [Макдоналдс],125 кКал,4 г,3 г,19 г
Макдоналдс_(McDonalds),Гранд Биф [Макдоналдс],610 кКал,34 г,30 г,49 г
Макдоналдс_(McDonalds),"Гранд Капучино (0,4 L) [Макдоналдс]",136 кКал,"6,3 г","7,6 г",10 г
Макдоналдс_(McDonalds),Гранд Чизбургер [Макдоналдс],474 кКал,25 г,21 г,46 г
Макдоналдс_(McDonalds),Грик Мак [Макдоналдс],486 кКал,24 г,26 г,39 г
Макдоналдс_(McDonalds),Грикмак [Макдоналдс],476 кКал,21 г,30 г,29 г
Макдоналдс_(McDonalds),Гриль Гурмэ [Макдоналдс],896 кКал,47 г,55 г,51 г
Макдоналдс_(McDonalds),Гурме Вестерн [Макдоналдс],667 кКал,34 г,36 г,51 г
Макдоналдс_(McDonalds),Дабл Макфреш [Макдоналдс],481 кКал,31 г,"25,6 г","30,7 г"
Макдоналдс_(McDonalds),Дабл Чизбургер [Макдоналдс],448 кКал,27 г,24 г,31 г
Макдоналдс_(McDonalds),Дакуаз с Малиной [Макдоналдс],318 кКал,5 г,15 г,41 г
Макдоналдс_(McDonalds),Двойной Биг Мак [Макдоналдс],686 кКал,42 г,38 г,42 г
Макдоналдс_(McDonalds),Двойной Биг Тейсти [Макдоналдс],1114 кКал,71 г,69 г,50 г
Макдоналдс_(McDonalds),Двойной Гранд Чизбургер [Макдоналдс],619 кКал,37 г,32 г,46 г
Макдоналдс_(McDonalds),Двойной Кантрибургер [Макдоналдс],442 кКал,24 г,22 г,37 г
Макдоналдс_(McDonalds),Двойной Картофель Фри [Макдоналдс],660 кКал,"7,8 г",32 г,82 г
Макдоналдс_(McDonalds),Двойной Роял Чизбургер [Макдоналдс],732 кКал,49 г,42 г,38 г
Макдоналдс_(McDonalds),Двойной Филе-О-Фиш [Макдоналдс],478 кКал,26 г,21 г,45 г
Макдоналдс_(McDonalds),Двойной Фреш Макмаффин [Макдоналдс],513 кКал,28 г,32 г,28 г
Макдоналдс_(McDonalds),Двойной Чизбургер [Макдоналдс],441 кКал,26 г,23 г,31 г
Макдоналдс_(McDonalds),Двойной Чизбургер Де Люкс [Макдоналдс],674 кКал,38 г,36 г,48 г
Макдоналдс_(McDonalds),Двойной Чизбургер Фреш [Макдоналдс],440 кКал,24 г,24 г,30 г
Макдоналдс_(McDonalds),Двойной Эгг Макмаффин с Яйцом и Свиной Котлетой [Макдоналдс],628 кКал,38 г,40 г,28 г
Макдоналдс_(McDonalds),Двойной Эспрессо [Макдоналдс],2 кКал,"0,2 г","0,1 г","0,2 г"
Макдоналдс_(McDonalds),Дер Бургер [Макдоналдс],345 кКал,15 г,17 г,33 г
Макдоналдс_(McDonalds),Десерт А-Ля Мод [Макдоналдс],508 кКал,"9,3 г",15 г,83 г
Макдоналдс_(McDonalds),Десерт Вафельный Рожок [Макдоналдс],135 кКал,3 г,4 г,22 г
Макдоналдс_(McDonalds),Десерт Вафельный рожок McDonalds [Макдоналдс],135 кКал,3 г,4 г,22 г
Макдоналдс_(McDonalds),Десерт Вишнёвый пирожок [Макдоналдс],230 кКал,2 г,12 г,29 г
Макдоналдс_(McDonalds),Десерт Вишнёвый пирожок McDonalds [Макдоналдс],230 кКал,2 г,12 г,29 г
Макдоналдс_(McDonalds),Десерт Макфлурри Де Люкс карамельно-шоколадный [Макдоналдс],375 кКал,6 г,10 г,60 г
Макдоналдс_(McDonalds),Десерт Макфлурри Де Люкс клубнично-шоколадный [Макдоналдс],330 кКал,6 г,8 г,54 г
Макдоналдс_(McDonalds),Десерт Макфлурри с рисовыми шариками [Макдоналдс],340 кКал,6 г,8 г,56 г
