Type,Продукт,Калорийность,Белки,Жиры,Углеводы
Пятерочка,Cherry Fresh [Пятерочка],42 кКал,0 г,0 г,"10,5 г"
Пятерочка,Choco Banana [Пятерочка],368 кКал,9 г,9 г,70 г
Пятерочка,Easy Смузи [Пятерочка],50 кКал,"0,6 г",0 г,12 г
Пятерочка,Energy To Go [Пятерочка],4 кКал,0 г,0 г,"0,5 г"
Пятерочка,Immuno Lakto Драконий Фрукт [Пятерочка],88 кКал,"2,6 г","2,5 г","13,9 г"
Пятерочка,Jake Vitamincandy [Пятерочка],245 кКал,"0,5 г","0,7 г","88,5 г"
Пятерочка,Kids Chocolate [Пятерочка],560 кКал,"4,6 г","36,5 г","53,4 г"
Пятерочка,Koukou Roukou [Пятерочка],533 кКал,"2,8 г",31 г,60 г
Пятерочка,Абрикос [Пятерочка],44 кКал,"0,9 г","0,1 г",9 г
Пятерочка,Авокадо [Пятерочка],212 кКал,2 г,20 г,6 г
Пятерочка,Апельсин [Пятерочка],36 кКал,"0,9 г","0,2 г","8,1 г"
Пятерочка,Арахис [Пятерочка],610 кКал,30 г,50 г,10 г
Пятерочка,Арахис Жареный Солёный [Пятерочка],608 кКал,26 г,50 г,"13,4 г"
Пятерочка,Багет Барра [Пятерочка],288 кКал,"10,9 г","1,2 г",57 г
Пятерочка,Багет Пшенично-Ржаной [Пятерочка],278 кКал,"9,3 г","5,9 г","46,1 г"
Пятерочка,Багет Суворовский [Пятерочка],226 кКал,13 г,"3,5 г",36 г
Пятерочка,Багет Традиционный [Пятерочка],267 кКал,"8,4 г","1,2 г","54,3 г"
Пятерочка,Багет Французский [Пятерочка],272 кКал,"8,3 г","2,1 г","54,9 г"
Пятерочка,Банан [Пятерочка],89 кКал,"1,1 г","0,3 г",23 г
Пятерочка,Батон Нарезной [Пятерочка],260 кКал,"7,5 г",3 г,51 г
Пятерочка,Батончик с Чесноком [Пятерочка],375 кКал,"7,9 г","4,4 г",48 г
Пятерочка,Батончик Сырный [Пятерочка],173 кКал,"5,3 г",4 г,32 г
Пятерочка,Блины Рестория [Пятерочка],246 кКал,"5,4 г","14,4 г","23,7 г"
Пятерочка,Булочка Даллас [Пятерочка],406 кКал,9 г,"16,9 г","54,5 г"
Пятерочка,Булочка из Пшеничной Муки с Кунжутом [Пятерочка],274 кКал,"8,9 г","3,1 г","52,4 г"
Пятерочка,Булочка Техас [Пятерочка],416 кКал,"8,4 г","16,2 г",59 г
Пятерочка,Бульон из Баранины [Пятерочка],70 кКал,5 г,5 г,3 г
Пятерочка,Буше Багет Летний [Пятерочка],277 кКал,"9,3 г","1,6 г","56,5 г"
Пятерочка,Буше Гипфель с Начинкой Крем [Пятерочка],333 кКал,"4,7 г","17,5 г","39,1 г"
Пятерочка,Буше Розан с Яблоком [Пятерочка],257 кКал,3 г,12 г,35 г
Пятерочка,Буше Турновер с Сыром и Ветчиной [Пятерочка],370 кКал,"8,1 г","25,5 г",27 г
Пятерочка,Буше Хлеб Питерский [Пятерочка],210 кКал,"7,4 г","1,2 г","42,6 г"
Пятерочка,Вино [Пятерочка],14 кКал,0 г,0 г,"3,5 г"
Пятерочка,Виноград Сушеный Светлый [Пятерочка],296 кКал,2 г,"0,5 г",72 г
Пятерочка,Виноград Тайфи [Пятерочка],65 кКал,"0,6 г","0,2 г","16,8 г"
Пятерочка,Гематоген с Витамином с [Пятерочка],250 кКал,7 г,3 г,54 г
Пятерочка,Геркулес Хлопья Овсяные [Пятерочка],360 кКал,13 г,6 г,64 г
Пятерочка,Гипфель с Клубникой [Пятерочка],361 кКал,"4,7 г",17 г,"47,2 г"
Пятерочка,Гипфель с Начинкой Смородина [Пятерочка],347 кКал,5 г,17 г,44 г
Пятерочка,Грейпфрут [Пятерочка],29 кКал,"0,7 г","0,2 г","6,5 г"
Пятерочка,Грейпфрут Свити [Пятерочка],58 кКал,"0,7 г","0,2 г",9 г
Пятерочка,Гречка [Пятерочка],334 кКал,12 г,2 г,67 г
Пятерочка,Груша Желтая [Пятерочка],44 кКал,"0,4 г","0,3 г","10,3 г"
Пятерочка,Груша Китайская [Пятерочка],42 кКал,"0,5 г","0,2 г","7,1 г"
Пятерочка,Груша Конференция [Пятерочка],48 кКал,"0,7 г","0,9 г","11,7 г"
Пятерочка,Груша Красная [Пятерочка],58 кКал,"0,7 г","0,7 г",10 г
Пятерочка,Груша Сезонная [Пятерочка],42 кКал,"0,4 г","0,3 г","10,9 г"
Пятерочка,Дип из Тунца [Пятерочка],132 кКал,"11,7 г","8,5 г","1,5 г"
Пятерочка,Донат с Клубничной Начинкой [Пятерочка],292 кКал,"3,4 г",17 г,33 г
Пятерочка,Дыня Эфиопка [Пятерочка],34 кКал,"0,8 г","0,2 г",8 г
Пятерочка,Запеканка из Творога [Пятерочка],199 кКал,18 г,"5,4 г","19,6 г"
Пятерочка,Зефир Ванильный [Пятерочка],310 кКал,1 г,0 г,81 г
Пятерочка,Йогурт [Пятерочка],75 кКал,"2,8 г","2,5 г","10,2 г"
Пятерочка,Какао [Пятерочка],370 кКал,5 г,2 г,85 г
Пятерочка,Капуста Квашеная по-Деревенски [Пятерочка],30 кКал,"1,7 г","0,1 г",5 г
Пятерочка,Кармашек с Грибной Начинкой [Пятерочка],330 кКал,"5,7 г","20,6 г","30,2 г"
Пятерочка,Картошка [Пятерочка],76 кКал,2 г,"0,4 г","16,1 г"
Пятерочка,Каша Быстрого Приготовления Овсяная с Клубникой [Пятерочка],290 кКал,"9,5 г","4,5 г",54 г
Пятерочка,Каша Овсяная [Пятерочка],299 кКал,"9,5 г",5 г,54 г
Пятерочка,Каша Овсяная с Абрикосом [Пятерочка],310 кКал,10 г,5 г,55 г
Пятерочка,Кекс Маффин с Ванилином [Пятерочка],426 кКал,"5,2 г","22,8 г",50 г
Пятерочка,Кекс Маффин Шоколадный [Пятерочка],410 кКал,"5,5 г",22 г,"47,5 г"
Пятерочка,Кета [Пятерочка],184 кКал,"24,3 г","9,6 г",0 г
Пятерочка,Кефир [Пятерочка],28 кКал,3 г,0 г,4 г
Пятерочка,Киви [Пятерочка],61 кКал,"1,1 г","0,5 г",15 г
