Type,Продукт,Калорийность,Белки,Жиры,Углеводы
Роллтон,Gold Роллтон,340 кКал,8 г,12 г,49 г
Роллтон,Бульон Домашний Грибной [Роллтон],85 кКал,"1,5 г",1 г,17 г
Роллтон,Бульон Домашний Куриный [Роллтон],80 кКал,"1,5 г","1,5 г",16 г
Роллтон,Бульон Домашний Мясной [Роллтон],91 кКал,1 г,"3,3 г","14,4 г"
Роллтон,Бульон Куриный Домашний [Роллтон],85 кКал,"1,5 г",2 г,15 г
Роллтон,Вермишель [Роллтон],450 кКал,9 г,21 г,57 г
Роллтон,Вермишель Быстрого Приготовления [Роллтон],480 кКал,"7,9 г","22,8 г","60,8 г"
Роллтон,Вермишель из Твердых Сортов Пшеницы [Роллтон],344 кКал,"10,4 г","1,1 г","71,5 г"
Роллтон,Вермишель на Домашнем Бульоне с Белыми Грибами [Роллтон],420 кКал,7 г,21 г,51 г
Роллтон,Вермишель на Домашнем Бульоне с Говядиной [Роллтон],440 кКал,7 г,23 г,50 г
Роллтон,Вермишель на Домашнем Бульоне с Грибами [Роллтон],440 кКал,7 г,23 г,50 г
Роллтон,Вермишель на Домашнем Бульоне с Курицей [Роллтон],440 кКал,7 г,23 г,50 г
Роллтон,Вермишель на Домашнем Бульоне с Овощами [Роллтон],420 кКал,7 г,21 г,51 г
Роллтон,Вермишель с Острой Курицей [Роллтон],452 кКал,"8,7 г","21,1 г","56,7 г"
Роллтон,Вермишель с Сыром и Беконом [Роллтон],420 кКал,7 г,21 г,50 г
Роллтон,Витки [Роллтон],344 кКал,"10,4 г","1,1 г","71,5 г"
Роллтон,Гнезда [Роллтон],340 кКал,11 г,2 г,70 г
Роллтон,Горячая Порция Лапша с Говядиной [Роллтон],390 кКал,7 г,17 г,53 г
Роллтон,Горячая Порция Лапша с Курицей [Роллтон],440 кКал,7 г,23 г,50 г
Роллтон,Горячая Порция с Курицей [Роллтон],400 кКал,6 г,17 г,54 г
Роллтон,Грибная Лапша по-Домашнему [Роллтон],431 кКал,"7,7 г","19,5 г","56,1 г"
Роллтон,Жареный Картофель с Луком и Беконом [Роллтон],93 кКал,"2,2 г","2,3 г","14,6 г"
Роллтон,Камчатский Краб [Роллтон],400 кКал,7 г,17 г,54 г
Роллтон,Картошка [Роллтон],410 кКал,"8,5 г",11 г,68 г
Роллтон,Куриная Лапша по-Домашнему [Роллтон],410 кКал,"7,5 г",19 г,52 г
Роллтон,Куриная Лапша по-Домашнему Острая [Роллтон],370 кКал,6 г,16 г,50 г
Роллтон,Лагман с Бараниной [Роллтон],308 кКал,"5,4 г","15,5 г","36,8 г"
Роллтон,Лазанья [Роллтон],326 кКал,10 г,"1,1 г","69,1 г"
Роллтон,Лапша [Роллтон],320 кКал,6 г,14 г,43 г
Роллтон,Лапша без Масла [Роллтон],338 кКал,10 г,2 г,70 г
Роллтон,Лапша Быстрого Приготовления [Роллтон],410 кКал,"7,5 г",19 г,52 г
Роллтон,Лапша Лагман с Бараниной [Роллтон],310 кКал,"5,5 г",16 г,37 г
Роллтон,Лапша Лагман с Бараниной по-Домашнему [Роллтон],400 кКал,7 г,17 г,54 г
Роллтон,Лапша по-Домашнему с Белыми Грибами [Роллтон],400 кКал,7 г,18 г,52 г
Роллтон,Лапша по-Домашнему с Овощами [Роллтон],400 кКал,7 г,18 г,52 г
Роллтон,Лапша Рисовая [Роллтон],332 кКал,8 г,0 г,75 г
Роллтон,Лапша с Говядиной [Роллтон],390 кКал,7 г,17 г,53 г
Роллтон,Лапша с Говядиной по-Домашнему [Роллтон],388 кКал,"6,9 г","17,6 г","50,5 г"
Роллтон,Лапша с Говядиной по-Домашнему [Роллтон],395 кКал,7 г,17 г,53 г
Роллтон,Лапша с Говядиной по-Домашнему Острая [Роллтон],360 кКал,7 г,16 г,50 г
Роллтон,Лапша с Курицей Цезарь [Роллтон],448 кКал,"8,8 г","20,7 г","56,7 г"
Роллтон,Лапша с Сыром и Беконом [Роллтон],420 кКал,7 г,21 г,50 г
Роллтон,Лапша Яичная для Бешбармака [Роллтон],326 кКал,10 г,"1,1 г","69,1 г"
Роллтон,Лапша Яичная Классическая [Роллтон],300 кКал,10 г,2 г,60 г
Роллтон,Лапша Яичная Отварная [Роллтон],107 кКал,"3,5 г","0,4 г","21,4 г"
Роллтон,Лапша Яичная по-Домашнему [Роллтон],300 кКал,10 г,2 г,60 г
Роллтон,Макароны [Роллтон],340 кКал,11 г,1 г,71 г
Роллтон,Макароны Гнезда [Роллтон],344 кКал,"10,4 г","1,1 г","71,5 г"
Роллтон,Макароны Перья [Роллтон],344 кКал,"10,4 г","1,1 г","71,5 г"
Роллтон,Макароны Рожки [Роллтон],344 кКал,"10,4 г","1,1 г","71,5 г"
Роллтон,Макароны Спирали [Роллтон],340 кКал,11 г,1 г,72 г
Роллтон,Перья Из Твёрдых Сортов Пшеницы [Роллтон],340 кКал,11 г,1 г,71 г
Роллтон,Пикантная Заправка [Роллтон],375 кКал,6 г,18 г,47 г
Роллтон,Постное Меню [Роллтон],420 кКал,7 г,21 г,51 г
Роллтон,Пюре Быстрого Приготовления [Роллтон],377 кКал,"10,5 г","3,8 г","75,3 г"
Роллтон,"Пюре Картофельное ""Готовить Легко"" [Роллтон]",330 кКал,"7,9 г","0,3 г","73,8 г"
Роллтон,Пюре Картофельное Жареные Лисички со Сметаной [Роллтон],370 кКал,6 г,8 г,67 г
Роллтон,Пюре Картофельное Классическое [Роллтон],320 кКал,7 г,"0,5 г",73 г
Роллтон,Пюре Картофельное с Говядиной [Роллтон],380 кКал,10 г,7 г,69 г
Роллтон,Пюре Картофельное с Жареным Луком [Роллтон],390 кКал,"8,5 г",9 г,69 г
Роллтон,Пюре Картофельное с Куриным Вкусом [Роллтон],370 кКал,6 г,8 г,67 г
Роллтон,Пюре Картофельное с Курицей [Роллтон],380 кКал,10 г,7 г,69 г
Роллтон,Пюре Картофельное с Молоком [Роллтон],350 кКал,9 г,"4,5 г",68 г
Роллтон,Пюре Картофельное с Мясным Вкусом [Роллтон],370 кКал,6 г,8 г,67 г
Роллтон,Пюре Картофельное с Сухариками [Роллтон],370 кКал,6 г,8 г,67 г
Роллтон,Пюре Картофельное со Вкусом Ветчины и Сыра [Роллтон],370 кКал,9 г,6 г,70 г
Роллтон,Пюре Картофельное со Вкусом Жареных Лисичек со Сметаной [Роллтон],370 кКал,6 г,8 г,67 г
Роллтон,Пюре Картофельное со Вкусом Томленой Курочки с Сыром [Роллтон],360 кКал,6 г,8 г,66 г
Роллтон,Пюре Картофельное со Сливочным Вкусом [Роллтон],360 кКал,6 г,6 г,70 г
Роллтон,Пюре с Мясным Вкусом [Роллтон],377 кКал,"10,5 г","3,8 г","75,3 г"
Роллтон,Пюре с Сухариками [Роллтон],377 кКал,"10,5 г","3,8 г","75,3 г"
Роллтон,Ракушки [Роллтон],344 кКал,"10,4 г","1,1 г","71,5 г"
Роллтон,Ребрышки Барбекю [Роллтон],400 кКал,6 г,17 г,54 г
Роллтон,Рожки [Роллтон],340 кКал,11 г,1 г,72 г
Роллтон,Рожки Яичные [Роллтон],340 кКал,13 г,1 г,70 г
Роллтон,Рожки Яичные [Роллтон],340 кКал,13 г,1 г,70 г
Роллтон,Соевый Соус [Роллтон],25 кКал,4 г,0 г,2 г
Роллтон,Спагетти [Роллтон],340 кКал,11 г,1 г,71 г
Роллтон,Спагетти из Тсп [Роллтон],340 кКал,11 г,1 г,71 г
Роллтон,Спагетти Яичные [Роллтон],340 кКал,13 г,1 г,70 г
Роллтон,Спирали [Роллтон],340 кКал,11 г,1 г,71 г
Роллтон,Спирали с Томатами и Шпинатом [Роллтон],343 кКал,"10,4 г","1,1 г","71,2 г"
Роллтон,Трубки с Томатами и Шпинатом [Роллтон],343 кКал,"10,4 г","1,1 г","71,2 г"
