Type,Продукт,Калорийность,Белки,Жиры,Углеводы
Черкизово,Азу из Мяса Индейки [Черкизово],220 кКал,10 г,20 г,0 г
Черкизово,Ассорти Сырокопченых Колбас [Черкизово],513 кКал,22 г,45 г,5 г
Черкизово,Балык из Куриных Грудок [Черкизово],115 кКал,18 г,3 г,4 г
Черкизово,Бастурма из Индейки [Черкизово],220 кКал,46 г,"3,5 г",1 г
Черкизово,Бекон по-Английски Охлажденный [Черкизово],353 кКал,14 г,33 г,0 г
Черкизово,Бекон по-Английски Свиной [Черкизово],353 кКал,14 г,35 г,0 г
Черкизово,Бекон Столичный Сырокопчёный [Черкизово],378 кКал,"13,5 г",36 г,0 г
Черкизово,Бекон Сырокопченый [Черкизово],252 кКал,15 г,20 г,3 г
Черкизово,Бекон Фермерский [Черкизово],384 кКал,12 г,36 г,3 г
Черкизово,Брауншвейгская Колбаса Сырокопченая [Черкизово],445 кКал,24 г,37 г,4 г
Черкизово,Буженина [Черкизово],252 кКал,16 г,20 г,2 г
Черкизово,Буженина по-Русски [Черкизово],145 кКал,14 г,9 г,2 г
Черкизово,Ветчина из Индейки [Черкизово],100 кКал,16 г,2 г,5 г
Черкизово,Ветчина Миланская [Черкизово],120 кКал,"21,5 г",3 г,2 г
Черкизово,Ветчина по-Черкизовски [Черкизово],236 кКал,11 г,20 г,3 г
Черкизово,Ветчина с Индейкой [Черкизово],83 кКал,9 г,3 г,5 г
Черкизово,Ветчина со Свиным Окороком [Черкизово],92 кКал,9 г,4 г,5 г
Черкизово,Ветчина Тост Хэм [Черкизово],127 кКал,11 г,7 г,5 г
Черкизово,Ветчина Швейцарская [Черкизово],110 кКал,18 г,3 г,3 г
Черкизово,Вырезка Свиная [Черкизово],135 кКал,18 г,7 г,0 г
Черкизово,Говядина Черкизовская [Черкизово],118 кКал,16 г,6 г,0 г
Черкизово,Грудинка [Черкизово],228 кКал,12 г,20 г,0 г
Черкизово,"Грудинка в Маринаде ""по-Домашнему"" [Черкизово]",350 кКал,16 г,"30,5 г",2 г
Черкизово,Грудинка по-Черкизовски [Черкизово],228 кКал,12 г,20 г,0 г
Черкизово,Грудинка Столичная [Черкизово],280 кКал,15 г,24 г,1 г
Черкизово,Грудинка Фермерская [Черкизово],248 кКал,15 г,20 г,2 г
Черкизово,Докторская Оригинальная [Черкизово],172 кКал,10 г,12 г,6 г
Черкизово,Докторская по-Черкизовски [Черкизово],240 кКал,12 г,20 г,3 г
Черкизово,Карбонад Берлинский [Черкизово],140 кКал,19 г,"6,5 г",2 г
Черкизово,Карбонад в Маринаде [Черкизово],240 кКал,14 г,20 г,2 г
Черкизово,Карбонад Кремлевский [Черкизово],96 кКал,15 г,4 г,0 г
Черкизово,Карбонад Свиной [Черкизово],217 кКал,16 г,17 г,0 г
Черкизово,Карбонад Фермерский [Черкизово],121 кКал,15 г,5 г,4 г
Черкизово,Карпаччо из Индейки [Черкизово],169 кКал,35 г,3 г,"0,5 г"
Черкизово,Карпаччо из Курицы [Черкизово],170 кКал,38 г,2 г,0 г
Черкизово,Колбаса Балыковая [Черкизово],250 кКал,17 г,20 г,"0,5 г"
